timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field,ratio
1681592100000,12.629,12.629,12.6,12.601,64004.9,1681592399999,807156.8304,1275,31006.7,391086.2644,0,2.5386
1681592400000,12.602,12.624,12.583,12.598,71159.8,1681592699999,896788.51612,1480,32363.5,407980.0754,0,2.5474
1681592700000,12.595,12.595,12.562,12.57,72787.7,1681592999999,915546.85838,1622,31152.9,391838.4499,0,2.5537
1681593000000,12.568,12.602,12.555,12.591,50211.5,1681593299999,631499.45806,1440,25535.9,321212.531,0,2.5549
1681593300000,12.592,12.627,12.592,12.627,40821.1,1681593599999,514717.0245,1186,20383.4,257025.7593,0,2.5386
1681593600000,12.627,12.65,12.626,12.648,28815.8,1681593899999,364156.39672,990,15552.8,196565.36502,0,2.5398
1681593900000,12.649,12.662,12.647,12.659,20754.6,1681594199999,262652.2799,687,9443.5,119505.8764,0,2.5361
1681594200000,12.659,12.681,12.659,12.677,28532.3,1681594499999,361575.0031,1145,13764.5,174415.5572,0,2.5398
1681594500000,12.678,12.689,12.654,12.654,41111.9,1681594799999,521136.23096,1031,14261.3,180791.56676,0,2.5323
1681594800000,12.655,12.668,12.654,12.661,14061.7,1681595099999,178052.2987,407,7032.4,89039.2177,0,2.5261
1681595100000,12.662,12.662,12.621,12.625,25847.2,1681595399999,326686.8492,845,10387.2,131215.9648,0,2.5273
1681595400000,12.626,12.639,12.583,12.611,49683.2,1681595699999,626633.41702,1275,20083.3,253270.5981,0,2.5336
1681595700000,12.611,12.611,12.599,12.604,15903.5,1681595999999,200482.7484,563,10447.5,131700.425,0,2.5537
1681596000000,12.605,12.637,12.556,12.622,93631.2,1681596299999,1178977.11532,2339,48727.4,613616.08358,0,2.5511
1681596300000,12.622,12.636,12.611,12.62,34587.2,1681596599999,436581.0301,1158,16598.1,209496.869,0,2.5524
1681596600000,12.622,12.626,12.612,12.615,14727.1,1681596899999,185826.8578,584,6023.7,76006.6205,0,2.5448
1681596900000,12.617,12.623,12.611,12.621,16018.9,1681597199999,202096.9845,553,8096.0,102142.4422,0,2.5524
1681597200000,12.622,12.658,12.612,12.653,44381.8,1681597499999,560825.77904,1427,22074.4,278955.48094,0,2.5486
1681597500000,12.653,12.661,12.637,12.658,22249.7,1681597799999,281484.3703,745,11340.7,143480.488,0,2.5511
1681597800000,12.658,12.667,12.625,12.633,57772.2,1681598099999,730590.8824,1382,18562.2,234793.2895,0,2.5486
1681598100000,12.634,12.636,12.617,12.636,24831.5,1681598399999,313547.7521,891,11390.4,143814.2059,0,2.5575
1681598400000,12.637,12.658,12.637,12.658,23851.6,1681598699999,301672.8284,669,16130.4,204017.7368,0,2.5587
1681598700000,12.657,12.664,12.613,12.625,67537.4,1681598999999,853527.7131,1457,21333.8,269612.4,0,2.5537
1681599000000,12.626,12.634,12.61,12.625,42694.8,1681599299999,539015.523,1072,19483.2,246022.4813,0,2.5765
1681599300000,12.625,12.639,12.622,12.633,20200.7,1681599599999,255108.1114,625,10600.8,133863.8248,0,2.5702
1681599600000,12.632,12.661,12.625,12.656,33195.8,1681599899999,419803.7499,1056,19718.4,249366.1358,0,2.5778
1681599900000,12.656,12.676,12.642,12.645,30304.3,1681600199999,383709.7873,937,14230.8,180179.6149,0,2.5714
1681600200000,12.647,12.661,12.633,12.637,28980.9,1681600499999,366458.8877,825,9066.7,114658.453,0,2.5753
1681600500000,12.636,12.643,12.616,12.622,33839.5,1681600799999,427267.4042,1067,12581.8,158866.0728,0,2.5932
1681600800000,12.624,12.648,12.621,12.637,37747.4,1681601099999,476966.9817,1073,26257.4,331778.8242,0,2.5932
1681601100000,12.637,12.639,12.603,12.616,33567.2,1681601399999,423714.758,892,13948.9,176064.2276,0,2.5829
1681601400000,12.616,12.634,12.611,12.624,23163.7,1681601699999,292414.7915,831,11935.2,150656.8636,0,2.5804
1681601700000,12.623,12.631,12.605,12.609,24701.9,1681601999999,311665.121,741,8228.8,103844.9752,0,2.5855
1681602000000,12.61,12.619,12.591,12.607,37766.2,1681602299999,476097.8714,878,19350.2,243964.1283,0,2.5907
1681602300000,12.607,12.615,12.573,12.573,28765.2,1681602599999,362405.24222,1050,12465.2,157098.6263,0,2.5829
1681602600000,12.574,12.595,12.561,12.594,29885.4,1681602899999,375882.78208,1012,18042.8,226951.6747,0,2.5817
1681602900000,12.594,12.594,12.563,12.572,27495.0,1681603199999,345728.4892,690,12785.7,160798.5855,0,2.5894
1681603200000,12.571,12.573,12.561,12.567,37915.8,1681603499999,476490.3566,1251,17110.1,215036.849,0,2.5932
1681603500000,12.566,12.594,12.566,12.576,44646.9,1681603799999,561680.1694,1188,25001.8,314536.9352,0,2.5881
1681603800000,12.575,12.578,12.503,12.522,96584.2,1681604099999,1210741.71313,2372,26526.7,332517.9673,0,2.5945
1681604100000,12.522,12.584,12.514,12.584,60229.3,1681604399999,755896.8202,1704,41680.6,523135.2807,0,2.5984
1681604400000,12.584,12.592,12.564,12.577,42177.6,1681604699999,530566.39492,1231,22163.1,278777.95372,0,2.5984
1681604700000,12.574,12.575,12.552,12.555,35100.3,1681604999999,440864.3329,882,11686.2,146792.7859,0,2.5971
1681605000000,12.556,12.599,12.556,12.588,37304.0,1681605299999,469300.7488,1370,21849.9,274865.2726,0,2.6114
1681605300000,12.588,12.589,12.55,12.55,27719.3,1681605599999,348440.5597,848,8989.2,113005.1131,0,2.6127
1681605600000,12.55,12.595,12.548,12.59,32366.0,1681605899999,407025.7382,1139,21830.8,274522.3668,0,2.6114
1681605900000,12.59,12.596,12.576,12.581,29603.9,1681606199999,372565.7907,918,15095.9,189992.6802,0,2.6101
1681606200000,12.58,12.583,12.53,12.538,35667.5,1681606499999,448104.04633,908,14845.6,186567.4277,0,2.6101
1681606500000,12.537,12.537,12.51,12.516,63426.1,1681606799999,794099.8034,1546,30418.0,380847.3334,0,2.6258
1681606800000,12.515,12.515,12.45,12.477,222800.7,1681607099999,2779654.73534,4627,80367.8,1002548.7682,0,2.6232
1681607100000,12.477,12.477,12.436,12.453,91770.8,1681607399999,1142660.3734,1705,34819.0,433572.1928,0,2.6062
1681607400000,12.454,12.454,12.315,12.371,532993.7,1681607699999,6590663.91924,9154,188135.5,2325634.26986,0,2.6062
1681607700000,12.371,12.371,12.271,12.361,246099.2,1681607999999,3034764.54865,5825,106640.8,1316004.1895,0,2.5984
1681608000000,12.361,12.413,12.35,12.39,107131.0,1681608299999,1327236.66686,2545,63175.2,782692.27946,0,2.5894
1681608300000,12.391,12.413,12.369,12.391,82108.1,1681608599999,1017426.9873,1822,37487.5,464449.1631,0,2.6101
1681608600000,12.391,12.434,12.378,12.418,79554.8,1681608899999,987335.74199,2253,44862.6,556775.91519,0,2.6101
1681608900000,12.417,12.434,12.404,12.434,42191.9,1681609199999,524029.8155,1339,21372.4,265457.1982,0,2.6153
1681609200000,12.432,12.445,12.395,12.407,74726.4,1681609499999,927806.2098,1752,24762.3,307422.3425,0,2.6245
1681609500000,12.407,12.443,12.393,12.43,71693.3,1681609799999,890544.1092,1682,42901.3,533012.7747,0,2.6337
1681609800000,12.43,12.448,12.429,12.434,26115.6,1681610099999,324801.4517,784,16912.9,210353.7086,0,2.6258
1681610100000,12.433,12.448,12.431,12.435,20274.5,1681610399999,252189.5675,735,10596.3,131808.6613,0,2.6311
1681610400000,12.436,12.473,12.426,12.466,64606.0,1681610699999,804772.4478,1677,32992.6,410949.3288,0,2.6377
1681610700000,12.466,12.472,12.448,12.459,29491.5,1681610999999,367488.0063,871,8836.3,110101.904,0,2.6456
1681611000000,12.459,12.477,12.441,12.459,31128.1,1681611299999,387976.5679,1241,12362.3,154091.0002,0,2.6523
1681611300000,12.459,12.467,12.448,12.462,32098.9,1681611599999,399907.3108,980,19563.4,243746.239,0,2.655
1681611600000,12.461,12.476,12.453,12.459,28218.1,1681611899999,351785.7851,813,14168.5,176629.1652,0,2.6576
1681611900000,12.459,12.461,12.442,12.446,24867.2,1681612199999,309618.0284,806,14028.8,174665.827,0,2.6617
