Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,3.4092,0.7732,0.2268,1.4829,0.5972,0.4028,4.8824,0.83,0.17,0.8215,5947021.0,7239310.0
1700696100000,3.4189,0.7737,0.2263,1.4809,0.5969,0.4031,4.8754,0.8298,0.1702,0.8215,5947021.0,7239310.0
1700696400000,3.4072,0.7731,0.2269,1.4808,0.5969,0.4031,4.872,0.8297,0.1703,0.8215,5947021.0,7239310.0
1700696700000,3.4072,0.7731,0.2269,1.4814,0.597,0.403,4.8824,0.83,0.17,0.8215,5947021.0,7239310.0
1700697000000,3.4111,0.7733,0.2267,1.4801,0.5968,0.4032,4.8928,0.8303,0.1697,0.8215,5947021.0,7239310.0
1700697300000,3.417,0.7736,0.2264,1.4827,0.5972,0.4028,4.9172,0.831,0.169,0.8215,5947021.0,7239310.0
1700697600000,3.4209,0.7738,0.2262,1.4838,0.5974,0.4026,4.9172,0.831,0.169,0.8215,5947021.0,7239310.0
1700697900000,3.4072,0.7731,0.2269,1.4823,0.5972,0.4028,4.9988,0.8333,0.1667,0.8215,5947021.0,7239310.0
1700698200000,3.4464,0.7751,0.2249,1.4809,0.5969,0.4031,5.0168,0.8338,0.1662,0.8215,5947021.0,7239310.0
1700698500000,3.4543,0.7755,0.2245,1.483,0.5973,0.4027,5.0386,0.8344,0.1656,0.8215,5947021.0,7239310.0
1700698800000,3.4723,0.7764,0.2236,1.4819,0.5971,0.4029,5.068,0.8352,0.1648,0.8215,5947021.0,7239310.0
1700699100000,3.4924,0.7774,0.2226,1.4834,0.5973,0.4027,5.0606,0.835,0.165,0.8215,5947021.0,7239310.0
1700699400000,3.4823,0.7769,0.2231,1.4819,0.5971,0.4029,5.0496,0.8347,0.1653,0.8215,5947021.0,7239310.0
