Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700696100000,1.7510,0.6365,0.3635,0.9865,0.4966,0.5034,2.6617,0.7269,0.2731,0.9290,6562563.0000,7064356.0000
1700696400000,1.7285,0.6335,0.3665,0.9878,0.4969,0.5031,2.6364,0.7250,0.2750,0.9290,6562563.0000,7064356.0000
1700696700000,1.7352,0.6344,0.3656,0.9863,0.4966,0.5034,2.6483,0.7259,0.2741,0.9290,6562563.0000,7064356.0000
1700697000000,1.7049,0.6303,0.3697,0.9864,0.4966,0.5034,2.6219,0.7239,0.2761,0.9290,6562563.0000,7064356.0000
1700697300000,1.7152,0.6317,0.3683,0.9862,0.4965,0.5035,2.6284,0.7244,0.2756,0.9290,6562563.0000,7064356.0000
1700697600000,1.7049,0.6303,0.3697,0.9863,0.4966,0.5034,2.6284,0.7244,0.2756,0.9290,6562563.0000,7064356.0000
1700697900000,1.7457,0.6358,0.3642,0.9907,0.4977,0.5023,2.6456,0.7257,0.2743,0.9290,6562563.0000,7064356.0000
1700698200000,1.7315,0.6339,0.3661,0.9872,0.4968,0.5032,2.6324,0.7247,0.2753,0.9290,6562563.0000,7064356.0000
1700698500000,1.7518,0.6366,0.3634,0.9884,0.4971,0.5029,2.6496,0.7260,0.2740,0.9290,6562563.0000,7064356.0000
1700698800000,1.7685,0.6388,0.3612,0.9907,0.4977,0.5023,2.6738,0.7278,0.2722,0.9290,6562563.0000,7064356.0000
1700699100000,1.7816,0.6405,0.3595,0.9906,0.4976,0.5024,2.6751,0.7279,0.2721,0.9290,6562563.0000,7064356.0000
1700699400000,1.7617,0.6379,0.3621,0.9899,0.4975,0.5025,2.6643,0.7271,0.2729,0.9290,6562563.0000,7064356.0000
1700699700000,1.7465,0.6359,0.3641,0.9888,0.4972,0.5028,2.6470,0.7258,0.2742,0.9290,6562563.0000,7064356.0000
1700700000000,1.7832,0.6407,0.3593,0.9929,0.4982,0.5018,2.6603,0.7268,0.2732,0.9290,6562563.0000,7064356.0000
1700700300000,1.7910,0.6417,0.3583,0.9990,0.4997,0.5003,2.6470,0.7258,0.2742,0.9290,6562563.0000,7064356.0000
1700700600000,1.7556,0.6371,0.3629,0.9985,0.4996,0.5004,2.6232,0.7240,0.2760,0.9290,6562563.0000,7064356.0000
1700700900000,1.7510,0.6365,0.3635,0.9966,0.4992,0.5008,2.6193,0.7237,0.2763,0.9290,6562563.0000,7064356.0000
1700701200000,1.7685,0.6388,0.3612,0.9977,0.4994,0.5006,2.6245,0.7241,0.2759,0.9290,6562563.0000,7064356.0000
1700701500000,1.7548,0.6370,0.3630,0.9934,0.4983,0.5017,2.6088,0.7229,0.2771,0.9290,6562563.0000,7064356.0000
1700701800000,1.7086,0.6308,0.3692,0.9976,0.4994,0.5006,2.5651,0.7195,0.2805,0.9290,6562563.0000,7064356.0000
1700702100000,1.7034,0.6301,0.3699,0.9979,0.4995,0.5005,2.5511,0.7184,0.2816,0.9290,6562563.0000,7064356.0000
1700702400000,1.6567,0.6236,0.3764,0.9981,0.4995,0.5005,2.5174,0.7157,0.2843,0.9290,6562563.0000,7064356.0000
1700702700000,1.6399,0.6212,0.3788,0.9899,0.4975,0.5025,2.5224,0.7161,0.2839,0.9290,6562563.0000,7064356.0000
1700703000000,1.6185,0.6181,0.3819,0.9877,0.4969,0.5031,2.5075,0.7149,0.2851,0.9290,6562563.0000,7064356.0000
1700703300000,1.6096,0.6168,0.3832,0.9915,0.4979,0.5021,2.4783,0.7125,0.2875,0.9290,6562563.0000,7064356.0000
