Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700696100000,2.3467,0.7012,0.2988,0.9510,0.4874,0.5126,2.4400,0.7093,0.2907,0.8935,113289.0000,126796.0000
1700696400000,2.3389,0.7005,0.2995,0.9505,0.4873,0.5127,2.4376,0.7091,0.2909,0.8935,113289.0000,126796.0000
1700696700000,2.3267,0.6994,0.3006,0.9542,0.4883,0.5117,2.4072,0.7065,0.2935,0.8935,113289.0000,126796.0000
1700697000000,2.3625,0.7026,0.2974,0.9502,0.4872,0.5128,2.4674,0.7116,0.2884,0.8935,113289.0000,126796.0000
1700697300000,2.3411,0.7007,0.2993,0.9518,0.4877,0.5123,2.4258,0.7081,0.2919,0.8935,113289.0000,126796.0000
1700697600000,2.3267,0.6994,0.3006,0.9496,0.4871,0.5129,2.4223,0.7078,0.2922,0.8935,113289.0000,126796.0000
1700697900000,2.3212,0.6989,0.3011,0.9489,0.4869,0.5131,2.4083,0.7066,0.2934,0.8935,113289.0000,126796.0000
1700698200000,2.3289,0.6996,0.3004,0.9510,0.4874,0.5126,2.4165,0.7073,0.2927,0.8935,113289.0000,126796.0000
1700698500000,2.3367,0.7003,0.2997,0.9526,0.4879,0.5121,2.3967,0.7056,0.2944,0.8935,113289.0000,126796.0000
1700698800000,2.2906,0.6961,0.3039,0.9518,0.4876,0.5124,2.3852,0.7046,0.2954,0.8935,113289.0000,126796.0000
1700699100000,2.3058,0.6975,0.3025,0.9505,0.4873,0.5127,2.4014,0.7060,0.2940,0.8935,113289.0000,126796.0000
1700699400000,2.3025,0.6972,0.3028,0.9537,0.4881,0.5119,2.3818,0.7043,0.2957,0.8935,113289.0000,126796.0000
1700699700000,2.3223,0.6990,0.3010,0.9537,0.4882,0.5118,2.3841,0.7045,0.2955,0.8935,113289.0000,126796.0000
1700700000000,2.2992,0.6969,0.3031,0.9515,0.4876,0.5124,2.3956,0.7055,0.2945,0.8935,113289.0000,126796.0000
1700700300000,2.3058,0.6975,0.3025,0.9522,0.4878,0.5122,2.3727,0.7035,0.2965,0.8935,113289.0000,126796.0000
1700700600000,2.2949,0.6965,0.3035,0.9521,0.4877,0.5123,2.3761,0.7038,0.2962,0.8935,113289.0000,126796.0000
1700700900000,2.2690,0.6941,0.3059,0.9545,0.4884,0.5116,2.3693,0.7032,0.2968,0.8935,113289.0000,126796.0000
1700701200000,2.2744,0.6946,0.3054,0.9507,0.4874,0.5126,2.3784,0.7040,0.2960,0.8935,113289.0000,126796.0000
1700701500000,2.2658,0.6938,0.3062,0.9479,0.4866,0.5134,2.3670,0.7030,0.2970,0.8935,113289.0000,126796.0000
1700701800000,2.2584,0.6931,0.3069,0.9484,0.4868,0.5132,2.3456,0.7011,0.2989,0.8935,113289.0000,126796.0000
1700702100000,2.2520,0.6925,0.3075,0.9487,0.4868,0.5132,2.3311,0.6998,0.3002,0.8935,113289.0000,126796.0000
1700702400000,2.2404,0.6914,0.3086,0.9477,0.4866,0.5134,2.3546,0.7019,0.2981,0.8935,113289.0000,126796.0000
1700702700000,2.2113,0.6886,0.3114,0.9488,0.4869,0.5131,2.3146,0.6983,0.3017,0.8935,113289.0000,126796.0000
1700703000000,2.1980,0.6873,0.3127,0.9498,0.4871,0.5129,2.3036,0.6973,0.3027,0.8935,113289.0000,126796.0000
1700703300000,2.2000,0.6875,0.3125,0.9501,0.4872,0.5128,2.3069,0.6976,0.3024,0.8935,113289.0000,126796.0000
1700703600000,2.2196,0.6894,0.3106,0.9509,0.4874,0.5126,2.3047,0.6974,0.3026,0.8935,113289.0000,126796.0000
1700703900000,2.2144,0.6889,0.3111,0.9487,0.4868,0.5132,2.3113,0.6980,0.3020,0.8935,113289.0000,126796.0000
1700704200000,2.2436,0.6917,0.3083,0.9490,0.4869,0.5131,2.3234,0.6991,0.3009,0.8935,113289.0000,126796.0000
1700704500000,2.2342,0.6908,0.3092,0.9461,0.4862,0.5138,2.3445,0.7010,0.2990,0.8935,113289.0000,126796.0000
1700704800000,2.2258,0.6900,0.3100,0.9481,0.4867,0.5133,2.3080,0.6977,0.3023,0.8935,113289.0000,126796.0000
1700705100000,2.2373,0.6911,0.3089,0.9467,0.4863,0.5137,2.3434,0.7009,0.2991,0.8935,113289.0000,126796.0000
1700705400000,2.2648,0.6937,0.3063,0.9958,0.4989,0.5011,2.3557,0.7020,0.2980,0.8935,113289.0000,126796.0000
1700705700000,2.4352,0.7089,0.2911,0.9963,0.4991,0.5009,2.3546,0.7019,0.2981,0.8935,113289.0000,126796.0000
1700706000000,2.4200,0.7076,0.2924,0.9947,0.4987,0.5013,2.3625,0.7026,0.2974,0.8935,113289.0000,126796.0000
1700706300000,2.4048,0.7063,0.2937,0.9937,0.4984,0.5016,2.3580,0.7022,0.2978,0.8935,113289.0000,126796.0000
1700706600000,2.3875,0.7048,0.2952,0.9930,0.4982,0.5018,2.3456,0.7011,0.2989,0.8935,113289.0000,126796.0000
1700706900000,2.3715,0.7034,0.2966,0.9925,0.4981,0.5019,2.3344,0.7001,0.2999,0.8935,113289.0000,126796.0000
1700707200000,2.3727,0.7035,0.2965,0.9928,0.4982,0.5018,2.3356,0.7002,0.2998,0.8935,113289.0000,126796.0000
1700707500000,2.3750,0.7037,0.2963,0.9926,0.4981,0.5019,2.3422,0.7008,0.2992,0.8935,113289.0000,126796.0000
1700707800000,2.3727,0.7035,0.2965,0.9920,0.4980,0.5020,2.3378,0.7004,0.2996,0.8935,113289.0000,126796.0000
1700708100000,2.3990,0.7058,0.2942,0.9929,0.4982,0.5018,2.3478,0.7013,0.2987,0.8935,113289.0000,126796.0000
1700708400000,2.3933,0.7053,0.2947,0.9946,0.4986,0.5014,2.3344,0.7001,0.2999,0.8935,113289.0000,126796.0000
1700708700000,2.3967,0.7056,0.2944,0.9958,0.4990,0.5010,2.3344,0.7001,0.2999,0.8935,113289.0000,126796.0000
1700709000000,2.4048,0.7063,0.2937,0.9950,0.4987,0.5013,2.3478,0.7013,0.2987,0.8935,113289.0000,126796.0000
1700709300000,2.4352,0.7089,0.2911,0.9923,0.4981,0.5019,2.3852,0.7046,0.2954,0.8935,113289.0000,126796.0000
1700709600000,2.4153,0.7072,0.2928,0.9913,0.4978,0.5022,2.3434,0.7009,0.2991,0.8935,113289.0000,126796.0000
1700709900000,2.4095,0.7067,0.2933,0.9926,0.4981,0.5019,2.3580,0.7022,0.2978,0.8935,113289.0000,126796.0000
1700710200000,2.4188,0.7075,0.2925,0.9921,0.4980,0.5020,2.3784,0.7040,0.2960,0.8935,113289.0000,126796.0000
1700710500000,2.4048,0.7063,0.2937,0.9910,0.4977,0.5023,2.3490,0.7014,0.2986,0.8935,113289.0000,126796.0000
1700710800000,2.3944,0.7054,0.2946,0.9915,0.4979,0.5021,2.3311,0.6998,0.3002,0.8935,113289.0000,126796.0000
1700711100000,2.4002,0.7059,0.2941,0.9916,0.4979,0.5021,2.3478,0.7013,0.2987,0.8935,113289.0000,126796.0000
1700711400000,2.4002,0.7059,0.2941,0.9916,0.4979,0.5021,2.3478,0.7013,0.2987,0.8935,113289.0000,126796.0000
1700712300000,2.4282,0.7083,0.2917,0.9908,0.4977,0.5023,2.3715,0.7034,0.2966,0.8935,113289.0000,126796.0000
1700712600000,2.4483,0.7100,0.2900,0.9894,0.4973,0.5027,2.3933,0.7053,0.2947,0.8935,113289.0000,126796.0000
