Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700696100000,0.9635,0.4907,0.5093,0.9998,0.5,0.5,1.1299,0.5305,0.4695,0.3318,94.0,283.3
1700696400000,0.9623,0.4904,0.5096,0.998,0.4995,0.5005,1.1268,0.5298,0.4702,0.3318,94.0,283.3
1700696700000,0.9743,0.4935,0.5065,0.9992,0.4998,0.5002,1.1363,0.5319,0.4681,0.3318,94.0,283.3
1700697000000,0.9743,0.4935,0.5065,0.9954,0.4988,0.5012,1.1304,0.5306,0.4694,0.3318,94.0,283.3
1700697300000,0.972,0.4929,0.5071,0.9944,0.4986,0.5014,1.1381,0.5323,0.4677,0.3318,94.0,283.3
1700697600000,0.9924,0.4981,0.5019,0.9941,0.4985,0.5015,1.1349,0.5316,0.4684,0.3318,94.0,283.3
1700697900000,0.9976,0.4994,0.5006,0.9947,0.4987,0.5013,1.1515,0.5352,0.4648,0.3318,94.0,283.3
1700698200000,1.019,0.5047,0.4953,0.9947,0.4987,0.5013,1.1538,0.5357,0.4643,0.3318,94.0,283.3
1700698500000,0.9976,0.4994,0.5006,0.9958,0.4989,0.5011,1.1608,0.5372,0.4628,0.3318,94.0,283.3
1700698800000,1.0024,0.5006,0.4994,0.9958,0.4989,0.5011,1.1331,0.5312,0.4688,0.3318,94.0,283.3
1700699100000,0.9988,0.4997,0.5003,0.9879,0.497,0.503,1.1501,0.5349,0.4651,0.3318,94.0,283.3
1700699400000,0.9829,0.4957,0.5043,0.9878,0.4969,0.5031,1.1533,0.5356,0.4644,0.3318,94.0,283.3
1700699700000,0.9693,0.4922,0.5078,0.9968,0.4992,0.5008,1.1473,0.5343,0.4657,0.3318,94.0,283.3
1700700000000,0.972,0.4929,0.5071,0.9926,0.4981,0.5019,1.12,0.5283,0.4717,0.3318,94.0,283.3
1700700300000,0.9635,0.4907,0.5093,0.9953,0.4988,0.5012,1.1459,0.534,0.466,0.3318,94.0,283.3
1700700600000,0.9658,0.4913,0.5087,0.9953,0.4988,0.5012,1.1249,0.5294,0.4706,0.3318,94.0,283.3
1700700900000,0.9697,0.4923,0.5077,0.995,0.4987,0.5013,1.1204,0.5284,0.4716,0.3318,94.0,283.3
1700701200000,0.9433,0.4854,0.5146,0.9972,0.4993,0.5007,1.1286,0.5302,0.4698,0.3318,94.0,283.3
1700701500000,0.9516,0.4876,0.5124,0.9977,0.4994,0.5006,1.1035,0.5246,0.4754,0.3318,94.0,283.3
1700701800000,0.9459,0.4861,0.5139,0.9939,0.4985,0.5015,1.1088,0.5258,0.4742,0.3318,94.0,283.3
1700702100000,0.9467,0.4863,0.5137,0.9943,0.4986,0.5014,1.1182,0.5279,0.4721,0.3318,94.0,283.3
1700702400000,0.9335,0.4828,0.5172,0.9989,0.4997,0.5003,1.1182,0.5279,0.4721,0.3318,94.0,283.3
1700702700000,0.9312,0.4822,0.5178,0.9917,0.4979,0.5021,1.0951,0.5227,0.4773,0.3318,94.0,283.3
1700703000000,0.9257,0.4807,0.5193,0.9826,0.4956,0.5044,1.1106,0.5262,0.4738,0.3318,94.0,283.3
1700703300000,0.9234,0.4801,0.5199,0.9808,0.4952,0.5048,1.1061,0.5252,0.4748,0.3318,94.0,283.3
1700703600000,0.9131,0.4773,0.5227,0.9802,0.495,0.505,1.111,0.5263,0.4737,0.3318,94.0,283.3
1700703900000,0.9168,0.4783,0.5217,0.9799,0.4949,0.5051,1.096,0.5229,0.4771,0.3318,94.0,283.3
1700704200000,0.9305,0.482,0.518,0.9815,0.4953,0.5047,1.0969,0.5231,0.4769,0.3318,94.0,283.3
