Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,3.5620,0.7808,0.2192,1.3168,0.5684,0.4316,4.5866,0.8210,0.1790,0.8539,1906525.0000,2232683.0000
1700696100000,3.5620,0.7808,0.2192,1.3169,0.5684,0.4316,4.5617,0.8202,0.1798,0.8539,1906525.0000,2232683.0000
1700696400000,3.5851,0.7819,0.2181,1.3185,0.5687,0.4313,4.5494,0.8198,0.1802,0.8539,1906525.0000,2232683.0000
1700696700000,3.6296,0.7840,0.2160,1.3196,0.5689,0.4311,4.5772,0.8207,0.1793,0.8539,1906525.0000,2232683.0000
1700697000000,3.5290,0.7792,0.2208,1.3173,0.5685,0.4315,4.6243,0.8222,0.1778,0.8539,1906525.0000,2232683.0000
1700697300000,3.5065,0.7781,0.2219,1.3189,0.5688,0.4312,4.5157,0.8187,0.1813,0.8539,1906525.0000,2232683.0000
1700697600000,3.5290,0.7792,0.2208,1.3183,0.5687,0.4313,4.4855,0.8177,0.1823,0.8539,1906525.0000,2232683.0000
1700697900000,3.4346,0.7745,0.2255,1.3163,0.5683,0.4317,4.5188,0.8188,0.1812,0.8539,1906525.0000,2232683.0000
1700698200000,3.4425,0.7749,0.2251,1.3174,0.5685,0.4315,4.4113,0.8152,0.1848,0.8539,1906525.0000,2232683.0000
1700698500000,3.4326,0.7744,0.2256,1.3169,0.5684,0.4316,4.4171,0.8154,0.1846,0.8539,1906525.0000,2232683.0000
1700698800000,3.4366,0.7746,0.2254,1.3192,0.5688,0.4312,4.4113,0.8152,0.1848,0.8539,1906525.0000,2232683.0000
1700699100000,3.4484,0.7752,0.2248,1.3177,0.5685,0.4315,4.4054,0.8150,0.1850,0.8539,1906525.0000,2232683.0000
1700699400000,3.4524,0.7754,0.2246,1.3200,0.5690,0.4310,4.4230,0.8156,0.1844,0.8539,1906525.0000,2232683.0000
1700699700000,3.4524,0.7754,0.2246,1.3178,0.5686,0.4314,4.4289,0.8158,0.1842,0.8539,1906525.0000,2232683.0000
1700700000000,3.4663,0.7761,0.2239,1.3185,0.5687,0.4313,4.4289,0.8158,0.1842,0.8539,1906525.0000,2232683.0000
1700700300000,3.4683,0.7762,0.2238,1.3176,0.5685,0.4315,4.4377,0.8161,0.1839,0.8539,1906525.0000,2232683.0000
1700700600000,3.4543,0.7755,0.2245,1.3175,0.5685,0.4315,4.4437,0.8163,0.1837,0.8539,1906525.0000,2232683.0000
1700700900000,3.4683,0.7762,0.2238,1.3172,0.5685,0.4315,4.4289,0.8158,0.1842,0.8539,1906525.0000,2232683.0000
1700701200000,3.4924,0.7774,0.2226,1.3175,0.5685,0.4315,4.4437,0.8163,0.1837,0.8539,1906525.0000,2232683.0000
1700701500000,3.4924,0.7774,0.2226,1.3171,0.5684,0.4316,4.4585,0.8168,0.1832,0.8539,1906525.0000,2232683.0000
1700701800000,3.4843,0.7770,0.2230,1.3169,0.5684,0.4316,4.4555,0.8167,0.1833,0.8539,1906525.0000,2232683.0000
1700702100000,3.4863,0.7771,0.2229,1.3173,0.5685,0.4315,4.4645,0.8170,0.1830,0.8539,1906525.0000,2232683.0000
1700702400000,3.4863,0.7771,0.2229,1.3183,0.5687,0.4313,4.4735,0.8173,0.1827,0.8539,1906525.0000,2232683.0000
1700702700000,3.4563,0.7756,0.2244,1.3174,0.5685,0.4315,4.4585,0.8168,0.1832,0.8539,1906525.0000,2232683.0000
1700703000000,3.4803,0.7768,0.2232,1.3152,0.5681,0.4319,4.4230,0.8156,0.1844,0.8539,1906525.0000,2232683.0000
1700703300000,3.5517,0.7803,0.2197,1.3192,0.5688,0.4312,4.4615,0.8169,0.1831,0.8539,1906525.0000,2232683.0000
1700703600000,3.5600,0.7807,0.2193,1.3210,0.5691,0.4309,4.5066,0.8184,0.1816,0.8539,1906525.0000,2232683.0000
1700703900000,3.5455,0.7800,0.2200,1.3194,0.5689,0.4311,4.4915,0.8179,0.1821,0.8539,1906525.0000,2232683.0000
1700704200000,3.5455,0.7800,0.2200,1.3214,0.5692,0.4308,4.4915,0.8179,0.1821,0.8539,1906525.0000,2232683.0000
1700704500000,3.5351,0.7795,0.2205,1.3193,0.5688,0.4312,4.4795,0.8175,0.1825,0.8539,1906525.0000,2232683.0000
