Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,1.6062,0.6163,0.3837,0.9497,0.4871,0.5129,1.4050,0.5842,0.4158,1.3726,2041.0000,1487.0000
1700695800000,1.5920,0.6142,0.3858,0.9494,0.4870,0.5130,1.3895,0.5815,0.4185,1.3726,2041.0000,1487.0000
1700696100000,1.6055,0.6162,0.3838,0.9492,0.4870,0.5130,1.3958,0.5826,0.4174,1.3726,2041.0000,1487.0000
1700696400000,1.6096,0.6168,0.3832,0.9496,0.4871,0.5129,1.3987,0.5831,0.4169,1.3726,2041.0000,1487.0000
1700696700000,1.6103,0.6169,0.3831,0.9494,0.4870,0.5130,1.3992,0.5832,0.4168,1.3726,2041.0000,1487.0000
1700697000000,1.6212,0.6185,0.3815,0.9489,0.4869,0.5131,1.4044,0.5841,0.4159,1.3726,2041.0000,1487.0000
1700697300000,1.6199,0.6183,0.3817,0.9490,0.4869,0.5131,1.4056,0.5843,0.4157,1.3726,2041.0000,1487.0000
1700697600000,1.6171,0.6179,0.3821,0.9494,0.4870,0.5130,1.4050,0.5842,0.4158,1.3726,2041.0000,1487.0000
1700697900000,1.5767,0.6119,0.3881,0.9505,0.4873,0.5127,1.3725,0.5785,0.4215,1.3726,2041.0000,1487.0000
1700698200000,1.5873,0.6135,0.3865,0.9498,0.4871,0.5129,1.3872,0.5811,0.4189,1.3726,2041.0000,1487.0000
1700698500000,1.6076,0.6165,0.3835,0.9504,0.4873,0.5127,1.3918,0.5819,0.4181,1.3726,2041.0000,1487.0000
1700698800000,1.6069,0.6164,0.3836,0.9500,0.4872,0.5128,1.3906,0.5817,0.4183,1.3726,2041.0000,1487.0000
1700699100000,1.5994,0.6153,0.3847,0.9504,0.4873,0.5127,1.3923,0.5820,0.4180,1.3726,2041.0000,1487.0000
1700699400000,1.6069,0.6164,0.3836,0.9497,0.4871,0.5129,1.4004,0.5834,0.4166,1.3726,2041.0000,1487.0000
1700699700000,1.5927,0.6143,0.3857,0.9507,0.4874,0.5126,1.3849,0.5807,0.4193,1.3726,2041.0000,1487.0000
1700700000000,1.5887,0.6137,0.3863,0.9501,0.4872,0.5128,1.3889,0.5814,0.4186,1.3726,2041.0000,1487.0000
1700700300000,1.5773,0.6120,0.3880,0.9506,0.4873,0.5127,1.3730,0.5786,0.4214,1.3726,2041.0000,1487.0000
1700700600000,1.5954,0.6147,0.3853,0.9512,0.4875,0.5125,1.3798,0.5798,0.4202,1.3726,2041.0000,1487.0000
1700700900000,1.5707,0.6110,0.3890,0.9515,0.4876,0.5124,1.3674,0.5776,0.4224,1.3726,2041.0000,1487.0000
1700701200000,1.5961,0.6148,0.3852,0.9498,0.4871,0.5129,1.3912,0.5818,0.4182,1.3726,2041.0000,1487.0000
