Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,2.2154,0.6890,0.3110,1.2443,0.5544,0.4456,2.7467,0.7331,0.2669,0.4889,125821.0000,257342.0000
1700696100000,2.1827,0.6858,0.3142,1.2440,0.5544,0.4456,2.7327,0.7321,0.2679,0.4889,125821.0000,257342.0000
1700696400000,2.1716,0.6847,0.3153,1.2443,0.5544,0.4456,2.7341,0.7322,0.2678,0.4889,125821.0000,257342.0000
1700696700000,2.1666,0.6842,0.3158,1.2444,0.5545,0.4455,2.7023,0.7299,0.2701,0.4889,125821.0000,257342.0000
1700697000000,2.1338,0.6809,0.3191,1.2429,0.5541,0.4459,2.7023,0.7299,0.2701,0.4889,125821.0000,257342.0000
1700697300000,2.1299,0.6805,0.3195,1.2416,0.5539,0.4461,2.6860,0.7287,0.2713,0.4889,125821.0000,257342.0000
1700697600000,2.1075,0.6782,0.3218,1.2403,0.5536,0.4464,2.6364,0.7250,0.2750,0.4889,125821.0000,257342.0000
1700697900000,2.0713,0.6744,0.3256,1.2391,0.5534,0.4466,2.6819,0.7284,0.2716,0.4889,125821.0000,257342.0000
1700698200000,2.0998,0.6774,0.3226,1.2350,0.5526,0.4474,2.6711,0.7276,0.2724,0.4889,125821.0000,257342.0000
1700698500000,2.1017,0.6776,0.3224,1.2347,0.5525,0.4475,2.6590,0.7267,0.2733,0.4889,125821.0000,257342.0000
1700698800000,2.0703,0.6743,0.3257,1.2349,0.5526,0.4474,2.6657,0.7272,0.2728,0.4889,125821.0000,257342.0000
1700699100000,2.0703,0.6743,0.3257,1.2350,0.5526,0.4474,2.6496,0.7260,0.2740,0.4889,125821.0000,257342.0000
1700699400000,2.0713,0.6744,0.3256,1.2366,0.5529,0.4471,2.6417,0.7254,0.2746,0.4889,125821.0000,257342.0000
1700699700000,2.0414,0.6712,0.3288,1.2374,0.5531,0.4469,2.6657,0.7272,0.2728,0.4889,125821.0000,257342.0000
1700700000000,2.0534,0.6725,0.3275,1.2364,0.5528,0.4472,2.6643,0.7271,0.2729,0.4889,125821.0000,257342.0000
1700700300000,2.0534,0.6725,0.3275,1.2372,0.5530,0.4470,2.6873,0.7288,0.2712,0.4889,125821.0000,257342.0000
1700700600000,2.0902,0.6764,0.3236,1.2370,0.5530,0.4470,2.7216,0.7313,0.2687,0.4889,125821.0000,257342.0000
1700700900000,2.1270,0.6802,0.3198,1.2385,0.5533,0.4467,2.7120,0.7306,0.2694,0.4889,125821.0000,257342.0000
1700701200000,2.1289,0.6804,0.3196,1.2409,0.5538,0.4462,2.6982,0.7296,0.2704,0.4889,125821.0000,257342.0000
1700701500000,2.1221,0.6797,0.3203,1.2415,0.5539,0.4461,2.7216,0.7313,0.2687,0.4889,125821.0000,257342.0000
1700701800000,2.1427,0.6818,0.3182,1.2420,0.5540,0.4460,2.7120,0.7306,0.2694,0.4889,125821.0000,257342.0000
1700702100000,2.1319,0.6807,0.3193,1.2401,0.5536,0.4464,2.7064,0.7302,0.2698,0.4889,125821.0000,257342.0000
1700702400000,2.1260,0.6801,0.3199,1.2402,0.5536,0.4464,2.7106,0.7305,0.2695,0.4889,125821.0000,257342.0000
1700702700000,2.1407,0.6816,0.3184,1.2465,0.5549,0.4451,2.7453,0.7330,0.2670,0.4889,125821.0000,257342.0000
1700703000000,2.1756,0.6851,0.3149,1.2466,0.5549,0.4451,2.7707,0.7348,0.2652,0.4889,125821.0000,257342.0000
1700703300000,2.1918,0.6867,0.3133,1.2453,0.5546,0.4454,2.7665,0.7345,0.2655,0.4889,125821.0000,257342.0000
1700703600000,2.1908,0.6866,0.3134,1.2446,0.5545,0.4455,2.7736,0.7350,0.2650,0.4889,125821.0000,257342.0000
1700703900000,2.2010,0.6876,0.3124,1.2451,0.5546,0.4454,2.7622,0.7342,0.2658,0.4889,125821.0000,257342.0000
1700704200000,2.1969,0.6872,0.3128,1.2469,0.5550,0.4450,2.7793,0.7354,0.2646,0.4889,125821.0000,257342.0000
1700704500000,2.2000,0.6875,0.3125,1.2454,0.5546,0.4454,2.7369,0.7324,0.2676,0.4889,125821.0000,257342.0000
1700704800000,2.1716,0.6847,0.3153,1.2446,0.5545,0.4455,2.7355,0.7323,0.2677,0.4889,125821.0000,257342.0000
1700705100000,2.1516,0.6827,0.3173,1.2421,0.5540,0.4460,2.7636,0.7343,0.2657,0.4889,125821.0000,257342.0000
1700705400000,2.1797,0.6855,0.3145,1.3960,0.5826,0.4174,2.7552,0.7337,0.2663,0.4889,125821.0000,257342.0000
1700705700000,2.3979,0.7057,0.2943,1.3956,0.5826,0.4174,2.7369,0.7324,0.2676,0.4889,125821.0000,257342.0000
1700706000000,2.3910,0.7051,0.2949,1.3971,0.5828,0.4172,2.7425,0.7328,0.2672,0.4889,125821.0000,257342.0000
1700706300000,2.3784,0.7040,0.2960,1.3966,0.5827,0.4173,2.7411,0.7327,0.2673,0.4889,125821.0000,257342.0000
1700706600000,2.3772,0.7039,0.2961,1.3975,0.5829,0.4171,2.7481,0.7332,0.2668,0.4889,125821.0000,257342.0000
1700706900000,2.4153,0.7072,0.2928,1.3977,0.5829,0.4171,2.7300,0.7319,0.2681,0.4889,125821.0000,257342.0000
1700707200000,2.3967,0.7056,0.2944,1.3995,0.5832,0.4168,2.7425,0.7328,0.2672,0.4889,125821.0000,257342.0000
1700707500000,2.4037,0.7062,0.2938,1.3991,0.5832,0.4168,2.7439,0.7329,0.2671,0.4889,125821.0000,257342.0000
1700707800000,2.4002,0.7059,0.2941,1.3991,0.5832,0.4168,2.7425,0.7328,0.2672,0.4889,125821.0000,257342.0000
1700708100000,2.4118,0.7069,0.2931,1.3997,0.5833,0.4167,2.7202,0.7312,0.2688,0.4889,125821.0000,257342.0000
1700708400000,2.3979,0.7057,0.2943,1.4006,0.5834,0.4166,2.7230,0.7314,0.2686,0.4889,125821.0000,257342.0000
1700708700000,2.3887,0.7049,0.2951,1.4006,0.5834,0.4166,2.7216,0.7313,0.2687,0.4889,125821.0000,257342.0000
1700709000000,2.3990,0.7058,0.2942,1.4007,0.5835,0.4165,2.7341,0.7322,0.2678,0.4889,125821.0000,257342.0000
1700709300000,2.4025,0.7061,0.2939,1.3989,0.5832,0.4168,2.7481,0.7332,0.2668,0.4889,125821.0000,257342.0000
1700709600000,2.4118,0.7069,0.2931,1.3959,0.5826,0.4174,2.7383,0.7325,0.2675,0.4889,125821.0000,257342.0000
1700709900000,2.4048,0.7063,0.2937,1.3958,0.5826,0.4174,2.7552,0.7337,0.2663,0.4889,125821.0000,257342.0000
1700710200000,2.4165,0.7073,0.2927,1.3940,0.5823,0.4177,2.7425,0.7328,0.2672,0.4889,125821.0000,257342.0000
1700710500000,2.4095,0.7067,0.2933,1.3939,0.5823,0.4177,2.7355,0.7323,0.2677,0.4889,125821.0000,257342.0000
1700710800000,2.4176,0.7074,0.2926,1.3943,0.5823,0.4177,2.7397,0.7326,0.2674,0.4889,125821.0000,257342.0000
1700711100000,2.4188,0.7075,0.2925,1.3959,0.5826,0.4174,2.7383,0.7325,0.2675,0.4889,125821.0000,257342.0000
1700712300000,2.3864,0.7047,0.2953,1.3970,0.5828,0.4172,2.7078,0.7303,0.2697,0.4889,125821.0000,257342.0000
1700712600000,2.3852,0.7046,0.2954,1.3968,0.5828,0.4172,2.7106,0.7305,0.2695,0.4889,125821.0000,257342.0000
1700712900000,2.3933,0.7053,0.2947,1.3952,0.5825,0.4175,2.7300,0.7319,0.2681,0.4889,125821.0000,257342.0000
1700713200000,2.3693,0.7032,0.2968,1.3943,0.5823,0.4177,2.7133,0.7307,0.2693,0.4889,125821.0000,257342.0000
1700713500000,2.3647,0.7028,0.2972,1.3931,0.5821,0.4179,2.7051,0.7301,0.2699,0.4889,125821.0000,257342.0000
1700713800000,2.3613,0.7025,0.2975,1.3941,0.5823,0.4177,2.7037,0.7300,0.2700,0.4889,125821.0000,257342.0000
1700714100000,2.3636,0.7027,0.2973,1.3904,0.5817,0.4183,2.7037,0.7300,0.2700,0.4889,125821.0000,257342.0000
1700714400000,2.3738,0.7036,0.2964,1.3913,0.5818,0.4182,2.7051,0.7301,0.2699,0.4889,125821.0000,257342.0000
1700714700000,2.3670,0.7030,0.2970,1.3921,0.5819,0.4181,2.6941,0.7293,0.2707,0.4889,125821.0000,257342.0000
1700715000000,2.3681,0.7031,0.2969,1.3898,0.5815,0.4185,2.7106,0.7305,0.2695,0.4889,125821.0000,257342.0000
1700715300000,2.3625,0.7026,0.2974,1.3901,0.5816,0.4184,2.7037,0.7300,0.2700,0.4889,125821.0000,257342.0000
1700715600000,2.3864,0.7047,0.2953,1.3905,0.5817,0.4183,2.7051,0.7301,0.2699,0.4889,125821.0000,257342.0000
