Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,3.1135,0.7569,0.2431,1.6948,0.6289,0.3711,3.2571,0.7651,0.2349,1.4539,577748.0,397379.0
1700696100000,3.1186,0.7572,0.2428,1.6948,0.6289,0.3711,3.2571,0.7651,0.2349,1.4539,577748.0,397379.0
1700696400000,3.1135,0.7569,0.2431,1.6945,0.6289,0.3711,3.2535,0.7649,0.2351,1.4539,577748.0,397379.0
1700696700000,3.09,0.7555,0.2445,1.6953,0.629,0.371,3.2301,0.7636,0.2364,1.4539,577748.0,397379.0
1700697000000,3.085,0.7552,0.2448,1.6951,0.629,0.371,3.2265,0.7634,0.2366,1.4539,577748.0,397379.0
1700697300000,3.0917,0.7556,0.2444,1.6962,0.6291,0.3709,3.223,0.7632,0.2368,1.4539,577748.0,397379.0
1700697600000,3.1034,0.7563,0.2437,1.6965,0.6291,0.3709,3.2355,0.7639,0.2361,1.4539,577748.0,397379.0
1700697900000,3.1,0.7561,0.2439,1.6958,0.629,0.371,3.2391,0.7641,0.2359,1.4539,577748.0,397379.0
1700698200000,3.1135,0.7569,0.2431,1.6953,0.629,0.371,3.2517,0.7648,0.2352,1.4539,577748.0,397379.0
1700698500000,3.1254,0.7576,0.2424,1.6969,0.6292,0.3708,3.2644,0.7655,0.2345,1.4539,577748.0,397379.0
1700698800000,3.1254,0.7576,0.2424,1.6957,0.629,0.371,3.2845,0.7666,0.2334,1.4539,577748.0,397379.0
1700699100000,3.1254,0.7576,0.2424,1.6956,0.629,0.371,3.2808,0.7664,0.2336,1.4539,577748.0,397379.0
1700699400000,3.1254,0.7576,0.2424,1.6941,0.6288,0.3712,3.2863,0.7667,0.2333,1.4539,577748.0,397379.0
1700699700000,3.1271,0.7577,0.2423,1.6959,0.6291,0.3709,3.268,0.7657,0.2343,1.4539,577748.0,397379.0
1700700000000,3.1391,0.7584,0.2416,1.6984,0.6294,0.3706,3.279,0.7663,0.2337,1.4539,577748.0,397379.0
1700700300000,3.122,0.7574,0.2426,1.6999,0.6296,0.3704,3.2644,0.7655,0.2345,1.4539,577748.0,397379.0
1700700600000,3.1271,0.7577,0.2423,1.7012,0.6298,0.3702,3.2626,0.7654,0.2346,1.4539,577748.0,397379.0
1700700900000,3.1068,0.7565,0.2435,1.6989,0.6295,0.3705,3.2355,0.7639,0.2361,1.4539,577748.0,397379.0
1700701200000,3.1068,0.7565,0.2435,1.6998,0.6296,0.3704,3.2427,0.7643,0.2357,1.4539,577748.0,397379.0
1700701500000,3.1051,0.7564,0.2436,1.6989,0.6295,0.3705,3.2409,0.7642,0.2358,1.4539,577748.0,397379.0
1700701800000,3.1051,0.7564,0.2436,1.6949,0.6289,0.3711,3.2427,0.7643,0.2357,1.4539,577748.0,397379.0
1700702100000,3.1186,0.7572,0.2428,1.6969,0.6292,0.3708,3.2463,0.7645,0.2355,1.4539,577748.0,397379.0
1700702400000,3.1034,0.7563,0.2437,1.6969,0.6292,0.3708,3.2427,0.7643,0.2357,1.4539,577748.0,397379.0
1700702700000,3.0883,0.7554,0.2446,1.696,0.6291,0.3709,3.2409,0.7642,0.2358,1.4539,577748.0,397379.0
1700703000000,3.0833,0.7551,0.2449,1.6963,0.6291,0.3709,3.2283,0.7635,0.2365,1.4539,577748.0,397379.0
1700703300000,3.08,0.7549,0.2451,1.6957,0.629,0.371,3.2141,0.7627,0.2373,1.4539,577748.0,397379.0
1700703600000,3.08,0.7549,0.2451,1.6985,0.6294,0.3706,3.2052,0.7622,0.2378,1.4539,577748.0,397379.0
1700703900000,3.0634,0.7539,0.2461,1.6985,0.6294,0.3706,3.2034,0.7621,0.2379,1.4539,577748.0,397379.0
1700704200000,3.0568,0.7535,0.2465,1.6982,0.6294,0.3706,3.2052,0.7622,0.2378,1.4539,577748.0,397379.0
1700704500000,3.0469,0.7529,0.2471,1.7015,0.6298,0.3702,3.1929,0.7615,0.2385,1.4539,577748.0,397379.0
