Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,2.42,0.7076,0.2924,1.1244,0.5293,0.4707,2.8685,0.7415,0.2585,1.4439,16667.0,11543.0
1700695800000,2.4048,0.7063,0.2937,1.125,0.5294,0.4706,2.8941,0.7432,0.2568,1.4439,16667.0,11543.0
1700696100000,2.4247,0.708,0.292,1.1239,0.5292,0.4708,2.879,0.7422,0.2578,1.4439,16667.0,11543.0
1700696400000,2.4188,0.7075,0.2925,1.1249,0.5294,0.4706,2.8745,0.7419,0.2581,1.4439,16667.0,11543.0
1700696700000,2.42,0.7076,0.2924,1.1254,0.5295,0.4705,2.8551,0.7406,0.2594,1.4439,16667.0,11543.0
1700697000000,2.399,0.7058,0.2942,1.1248,0.5294,0.4706,2.8655,0.7413,0.2587,1.4439,16667.0,11543.0
1700697300000,2.42,0.7076,0.2924,1.1254,0.5295,0.4705,2.8432,0.7398,0.2602,1.4439,16667.0,11543.0
1700697600000,2.4048,0.7063,0.2937,1.1251,0.5294,0.4706,2.8388,0.7395,0.2605,1.4439,16667.0,11543.0
1700697900000,2.3979,0.7057,0.2943,1.1247,0.5293,0.4707,2.8551,0.7406,0.2594,1.4439,16667.0,11543.0
1700698200000,2.4025,0.7061,0.2939,1.1243,0.5292,0.4708,2.8565,0.7407,0.2593,1.4439,16667.0,11543.0
1700698500000,2.4165,0.7073,0.2927,1.1243,0.5293,0.4707,2.8775,0.7421,0.2579,1.4439,16667.0,11543.0
1700698800000,2.4141,0.7071,0.2929,1.124,0.5292,0.4708,2.8551,0.7406,0.2594,1.4439,16667.0,11543.0
1700699100000,2.3807,0.7042,0.2958,1.1256,0.5295,0.4705,2.8595,0.7409,0.2591,1.4439,16667.0,11543.0
1700699400000,2.4014,0.706,0.294,1.1271,0.5299,0.4701,2.8536,0.7405,0.2595,1.4439,16667.0,11543.0
1700699700000,2.4025,0.7061,0.2939,1.1277,0.53,0.47,2.8895,0.7429,0.2571,1.4439,16667.0,11543.0
1700700000000,2.4247,0.708,0.292,1.1269,0.5298,0.4702,2.873,0.7418,0.2582,1.4439,16667.0,11543.0
1700700300000,2.4235,0.7079,0.2921,1.1278,0.53,0.47,2.8956,0.7433,0.2567,1.4439,16667.0,11543.0
1700700600000,2.453,0.7104,0.2896,1.1316,0.5309,0.4691,2.92,0.7449,0.2551,1.4439,16667.0,11543.0
1700700900000,2.4734,0.7121,0.2879,1.1313,0.5308,0.4692,2.9108,0.7443,0.2557,1.4439,16667.0,11543.0
1700701200000,2.4614,0.7111,0.2889,1.1296,0.5304,0.4696,2.87,0.7416,0.2584,1.4439,16667.0,11543.0
1700701500000,2.4388,0.7092,0.2908,1.1307,0.5307,0.4693,2.8911,0.743,0.257,1.4439,16667.0,11543.0
1700701800000,2.453,0.7104,0.2896,1.1307,0.5307,0.4693,2.8971,0.7434,0.2566,1.4439,16667.0,11543.0
1700702100000,2.453,0.7104,0.2896,1.1304,0.5306,0.4694,2.8506,0.7403,0.2597,1.4439,16667.0,11543.0
1700702400000,2.4376,0.7091,0.2909,1.1298,0.5305,0.4695,2.87,0.7416,0.2584,1.4439,16667.0,11543.0
1700702700000,2.4282,0.7083,0.2917,1.1249,0.5294,0.4706,2.87,0.7416,0.2584,1.4439,16667.0,11543.0
1700703000000,2.4294,0.7084,0.2916,1.1246,0.5293,0.4707,2.8835,0.7425,0.2575,1.4439,16667.0,11543.0
1700703300000,2.453,0.7104,0.2896,1.125,0.5294,0.4706,2.87,0.7416,0.2584,1.4439,16667.0,11543.0
1700703600000,2.4495,0.7101,0.2899,1.1255,0.5295,0.4705,2.8551,0.7406,0.2594,1.4439,16667.0,11543.0
1700703900000,2.4329,0.7087,0.2913,1.1261,0.5297,0.4703,2.8344,0.7392,0.2608,1.4439,16667.0,11543.0
1700704200000,2.4282,0.7083,0.2917,1.1273,0.5299,0.4701,2.827,0.7387,0.2613,1.4439,16667.0,11543.0
1700704500000,2.4014,0.706,0.294,1.1266,0.5298,0.4702,2.8168,0.738,0.262,1.4439,16667.0,11543.0
1700704800000,2.3967,0.7056,0.2944,1.1278,0.53,0.47,2.7936,0.7364,0.2636,1.4439,16667.0,11543.0
1700705100000,2.3647,0.7028,0.2972,1.1267,0.5298,0.4702,2.8095,0.7375,0.2625,1.4439,16667.0,11543.0
1700705400000,2.3501,0.7015,0.2985,1.2648,0.5585,0.4415,2.7779,0.7353,0.2647,1.4439,16667.0,11543.0
1700705700000,2.5162,0.7156,0.2844,1.2668,0.5588,0.4412,2.7313,0.732,0.268,1.4439,16667.0,11543.0
1700706000000,2.4459,0.7098,0.2902,1.2654,0.5586,0.4414,2.7467,0.7331,0.2669,1.4439,16667.0,11543.0
1700706300000,2.4566,0.7107,0.2893,1.2652,0.5585,0.4415,2.723,0.7314,0.2686,1.4439,16667.0,11543.0
1700706600000,2.427,0.7082,0.2918,1.2639,0.5583,0.4417,2.7397,0.7326,0.2674,1.4439,16667.0,11543.0
1700706900000,2.459,0.7109,0.2891,1.2642,0.5583,0.4417,2.7397,0.7326,0.2674,1.4439,16667.0,11543.0
1700707200000,2.459,0.7109,0.2891,1.2643,0.5584,0.4416,2.7397,0.7326,0.2674,1.4439,16667.0,11543.0
1700707500000,2.4471,0.7099,0.2901,1.2631,0.5581,0.4419,2.7453,0.733,0.267,1.4439,16667.0,11543.0
1700707800000,2.4578,0.7108,0.2892,1.2624,0.558,0.442,2.758,0.7339,0.2661,1.4439,16667.0,11543.0
1700708100000,2.4566,0.7107,0.2893,1.2623,0.558,0.442,2.7272,0.7317,0.2683,1.4439,16667.0,11543.0
1700708400000,2.4329,0.7087,0.2913,1.2609,0.5577,0.4423,2.7189,0.7311,0.2689,1.4439,16667.0,11543.0
1700708700000,2.427,0.7082,0.2918,1.2618,0.5579,0.4421,2.7161,0.7309,0.2691,1.4439,16667.0,11543.0
1700709000000,2.4235,0.7079,0.2921,1.2625,0.558,0.442,2.7495,0.7333,0.2667,1.4439,16667.0,11543.0
1700709300000,2.4483,0.71,0.29,1.2642,0.5583,0.4417,2.7908,0.7362,0.2638,1.4439,16667.0,11543.0
1700709600000,2.4819,0.7128,0.2872,1.2629,0.5581,0.4419,2.7736,0.735,0.265,1.4439,16667.0,11543.0
1700709900000,2.4807,0.7127,0.2873,1.2635,0.5582,0.4418,2.775,0.7351,0.2649,1.4439,16667.0,11543.0
1700710200000,2.4807,0.7127,0.2873,1.2635,0.5582,0.4418,2.785,0.7358,0.2642,1.4439,16667.0,11543.0
1700710500000,2.4831,0.7129,0.2871,1.2633,0.5582,0.4418,2.7736,0.735,0.265,1.4439,16667.0,11543.0
1700710800000,2.4831,0.7129,0.2871,1.2634,0.5582,0.4418,2.7636,0.7343,0.2657,1.4439,16667.0,11543.0
1700711100000,2.4686,0.7117,0.2883,1.2635,0.5582,0.4418,2.785,0.7358,0.2642,1.4439,16667.0,11543.0
1700712300000,2.4892,0.7134,0.2866,1.2634,0.5582,0.4418,2.7467,0.7331,0.2669,1.4439,16667.0,11543.0
1700712600000,2.465,0.7114,0.2886,1.2657,0.5586,0.4414,2.7313,0.732,0.268,1.4439,16667.0,11543.0
1700712900000,2.4495,0.7101,0.2899,1.2654,0.5586,0.4414,2.7481,0.7332,0.2668,1.4439,16667.0,11543.0
1700713200000,2.4507,0.7102,0.2898,1.2651,0.5585,0.4415,2.7538,0.7336,0.2664,1.4439,16667.0,11543.0
1700713500000,2.4686,0.7117,0.2883,1.2654,0.5586,0.4414,2.7425,0.7328,0.2672,1.4439,16667.0,11543.0
1700713800000,2.4554,0.7106,0.2894,1.2643,0.5584,0.4416,2.7509,0.7334,0.2666,1.4439,16667.0,11543.0
1700714100000,2.453,0.7104,0.2896,1.2637,0.5582,0.4418,2.785,0.7358,0.2642,1.4439,16667.0,11543.0
1700714400000,2.4831,0.7129,0.2871,1.2647,0.5584,0.4416,2.7807,0.7355,0.2645,1.4439,16667.0,11543.0
1700714700000,2.5002,0.7143,0.2857,1.2644,0.5584,0.4416,2.7821,0.7356,0.2644,1.4439,16667.0,11543.0
1700715000000,2.5051,0.7147,0.2853,1.2632,0.5581,0.4419,2.785,0.7358,0.2642,1.4439,16667.0,11543.0
1700715300000,2.5112,0.7152,0.2848,1.2635,0.5582,0.4418,2.7736,0.735,0.265,1.4439,16667.0,11543.0
1700715600000,2.4916,0.7136,0.2864,1.2631,0.5581,0.4419,2.7679,0.7346,0.2654,1.4439,16667.0,11543.0
1700715900000,2.4916,0.7136,0.2864,1.2628,0.5581,0.4419,2.7622,0.7342,0.2658,1.4439,16667.0,11543.0
1700716200000,2.4916,0.7136,0.2864,1.2637,0.5582,0.4418,2.7495,0.7333,0.2667,1.4439,16667.0,11543.0
1700716500000,2.4807,0.7127,0.2873,1.2635,0.5582,0.4418,2.7258,0.7316,0.2684,1.4439,16667.0,11543.0
1700716800000,2.4459,0.7098,0.2902,1.2616,0.5578,0.4422,2.7133,0.7307,0.2693,1.4439,16667.0,11543.0
1700717100000,2.4471,0.7099,0.2901,1.2623,0.558,0.442,2.7161,0.7309,0.2691,1.4439,16667.0,11543.0
1700717400000,2.4471,0.7099,0.2901,1.2621,0.5579,0.4421,2.7258,0.7316,0.2684,1.4439,16667.0,11543.0
1700717700000,2.4554,0.7106,0.2894,1.2611,0.5577,0.4423,2.7411,0.7327,0.2673,1.4439,16667.0,11543.0
1700718000000,2.459,0.7109,0.2891,1.2622,0.558,0.442,2.7286,0.7318,0.2682,1.4439,16667.0,11543.0
1700718300000,2.4662,0.7115,0.2885,1.2635,0.5582,0.4418,2.8344,0.7392,0.2608,1.4439,16667.0,11543.0
1700718600000,2.5702,0.7199,0.2801,1.2602,0.5576,0.4424,2.7879,0.736,0.264,1.4439,16667.0,11543.0
1700718900000,2.5436,0.7178,0.2822,1.261,0.5577,0.4423,2.7779,0.7353,0.2647,1.4439,16667.0,11543.0
1700719200000,2.5474,0.7181,0.2819,1.2627,0.5581,0.4419,2.7836,0.7357,0.2643,1.4439,16667.0,11543.0
1700719500000,2.5549,0.7187,0.2813,1.263,0.5581,0.4419,2.7994,0.7368,0.2632,1.4439,16667.0,11543.0
1700719800000,2.5778,0.7205,0.2795,1.2634,0.5582,0.4418,2.7736,0.735,0.265,1.4439,16667.0,11543.0
1700720100000,2.5613,0.7192,0.2808,1.2652,0.5585,0.4415,2.7608,0.7341,0.2659,1.4439,16667.0,11543.0
1700720400000,2.5638,0.7194,0.2806,1.2674,0.559,0.441,2.7495,0.7333,0.2667,1.4439,16667.0,11543.0
1700720700000,2.56,0.7191,0.2809,1.2678,0.5591,0.4409,2.7397,0.7326,0.2674,1.4439,16667.0,11543.0
1700721000000,2.5411,0.7176,0.2824,1.2669,0.5589,0.4411,2.7722,0.7349,0.2651,1.4439,16667.0,11543.0
1700721300000,2.5562,0.7188,0.2812,1.2678,0.559,0.441,2.7651,0.7344,0.2656,1.4439,16667.0,11543.0
1700721600000,2.5549,0.7187,0.2813,1.2689,0.5592,0.4408,2.7693,0.7347,0.2653,1.4439,16667.0,11543.0
1700721900000,2.56,0.7191,0.2809,1.2686,0.5592,0.4408,2.7594,0.734,0.266,1.4439,16667.0,11543.0
1700722200000,2.5587,0.719,0.281,1.2683,0.5591,0.4409,2.758,0.7339,0.2661,1.4439,16667.0,11543.0
1700722500000,2.5575,0.7189,0.2811,1.2679,0.5591,0.4409,2.7622,0.7342,0.2658,1.4439,16667.0,11543.0
