Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,0.7637,0.433,0.567,1.317,0.5684,0.4316,0.7797,0.4381,0.5619,1.6021,38743.0,24182.0
1700695800000,0.7618,0.4324,0.5676,1.3174,0.5685,0.4315,0.7819,0.4388,0.5612,1.6021,38743.0,24182.0
1700696100000,0.7578,0.4311,0.5689,1.3174,0.5685,0.4315,0.7867,0.4403,0.5597,1.6021,38743.0,24182.0
1700696400000,0.7572,0.4309,0.5691,1.3144,0.5679,0.4321,0.7864,0.4402,0.5598,1.6021,38743.0,24182.0
1700696700000,0.7603,0.4319,0.5681,1.3133,0.5677,0.4323,0.7879,0.4407,0.5593,1.6021,38743.0,24182.0
1700697000000,0.7621,0.4325,0.5675,1.314,0.5678,0.4322,0.7584,0.4313,0.5687,1.6021,38743.0,24182.0
1700697300000,0.763,0.4328,0.5672,1.319,0.5688,0.4312,0.7556,0.4304,0.5696,1.6021,38743.0,24182.0
1700697600000,0.7416,0.4258,0.5742,1.3184,0.5687,0.4313,0.7544,0.43,0.57,1.6021,38743.0,24182.0
1700697900000,0.7349,0.4236,0.5764,1.3188,0.5687,0.4313,0.7581,0.4312,0.5688,1.6021,38743.0,24182.0
1700698200000,0.7307,0.4222,0.5778,1.3171,0.5684,0.4316,0.7575,0.431,0.569,1.6021,38743.0,24182.0
1700698500000,0.7325,0.4228,0.5772,1.316,0.5682,0.4318,0.7606,0.432,0.568,1.6021,38743.0,24182.0
1700698800000,0.7295,0.4218,0.5782,1.315,0.568,0.432,0.7618,0.4324,0.5676,1.6021,38743.0,24182.0
1700699100000,0.7295,0.4218,0.5782,1.3149,0.568,0.432,0.7727,0.4359,0.5641,1.6021,38743.0,24182.0
1700699400000,0.7319,0.4226,0.5774,1.3152,0.5681,0.4319,0.7637,0.433,0.567,1.6021,38743.0,24182.0
1700699700000,0.7409,0.4256,0.5744,1.3131,0.5677,0.4323,0.7615,0.4323,0.5677,1.6021,38743.0,24182.0
1700700000000,0.734,0.4233,0.5767,1.3135,0.5678,0.4322,0.7627,0.4327,0.5673,1.6021,38743.0,24182.0
1700700300000,0.7358,0.4239,0.5761,1.3158,0.5682,0.4318,0.7609,0.4321,0.5679,1.6021,38743.0,24182.0
1700700600000,0.7394,0.4251,0.5749,1.3163,0.5683,0.4317,0.7584,0.4313,0.5687,1.6021,38743.0,24182.0
1700700900000,0.7385,0.4248,0.5752,1.3175,0.5685,0.4315,0.7618,0.4324,0.5676,1.6021,38743.0,24182.0
1700701200000,0.7349,0.4236,0.5764,1.3192,0.5688,0.4312,0.7609,0.4321,0.5679,1.6021,38743.0,24182.0
1700701500000,0.7364,0.4241,0.5759,1.3212,0.5692,0.4308,0.7646,0.4333,0.5667,1.6021,38743.0,24182.0
1700701800000,0.7367,0.4242,0.5758,1.3201,0.569,0.431,0.7749,0.4366,0.5634,1.6021,38743.0,24182.0
1700702100000,0.7385,0.4248,0.5752,1.3163,0.5683,0.4317,0.7746,0.4365,0.5635,1.6021,38743.0,24182.0
1700702400000,0.7443,0.4267,0.5733,1.3167,0.5683,0.4317,0.7794,0.438,0.562,1.6021,38743.0,24182.0
1700702700000,0.7256,0.4205,0.5795,1.3091,0.5669,0.4331,0.7924,0.4421,0.5579,1.6021,38743.0,24182.0
1700703000000,0.7277,0.4212,0.5788,1.3116,0.5674,0.4326,0.7886,0.4409,0.5591,1.6021,38743.0,24182.0
1700703300000,0.7486,0.4281,0.5719,1.3112,0.5673,0.4327,0.7918,0.4419,0.5581,1.6021,38743.0,24182.0
1700703600000,0.7455,0.4271,0.5729,1.3106,0.5672,0.4328,0.7937,0.4425,0.5575,1.6021,38743.0,24182.0
1700703900000,0.7486,0.4281,0.5719,1.311,0.5673,0.4327,0.7912,0.4417,0.5583,1.6021,38743.0,24182.0
1700704200000,0.7495,0.4284,0.5716,1.3119,0.5675,0.4325,0.7905,0.4415,0.5585,1.6021,38743.0,24182.0
1700704500000,0.7476,0.4278,0.5722,1.3111,0.5673,0.4327,0.7944,0.4427,0.5573,1.6021,38743.0,24182.0
1700704800000,0.7476,0.4278,0.5722,1.3105,0.5672,0.4328,0.7841,0.4395,0.5605,1.6021,38743.0,24182.0
1700705100000,0.7565,0.4307,0.5693,1.3939,0.5823,0.4177,0.7832,0.4392,0.5608,1.6021,38743.0,24182.0
1700705400000,0.7437,0.4265,0.5735,1.3952,0.5825,0.4175,0.7886,0.4409,0.5591,1.6021,38743.0,24182.0
1700705700000,0.8155,0.4492,0.5508,1.3874,0.5811,0.4189,0.7957,0.4431,0.5569,1.6021,38743.0,24182.0
1700706000000,0.8192,0.4503,0.5497,1.3877,0.5812,0.4188,0.7886,0.4409,0.5591,1.6021,38743.0,24182.0
1700706300000,0.8255,0.4522,0.5478,1.3868,0.581,0.419,0.7944,0.4427,0.5573,1.6021,38743.0,24182.0
1700706600000,0.8179,0.4499,0.5501,1.3875,0.5812,0.4188,0.7966,0.4434,0.5566,1.6021,38743.0,24182.0
1700706900000,0.8202,0.4506,0.5494,1.3858,0.5808,0.4192,0.8031,0.4454,0.5546,1.6021,38743.0,24182.0
1700707200000,0.8202,0.4506,0.5494,1.3846,0.5807,0.4193,0.7992,0.4442,0.5558,1.6021,38743.0,24182.0
1700707500000,0.8282,0.453,0.547,1.3838,0.5805,0.4195,0.8041,0.4457,0.5543,1.6021,38743.0,24182.0
1700707800000,0.8268,0.4526,0.5474,1.3785,0.5796,0.4204,0.8018,0.445,0.555,1.6021,38743.0,24182.0
1700708100000,0.8325,0.4543,0.5457,1.3777,0.5794,0.4206,0.807,0.4466,0.5534,1.6021,38743.0,24182.0
1700708400000,0.8318,0.4541,0.5459,1.38,0.5798,0.4202,0.7953,0.443,0.557,1.6021,38743.0,24182.0
1700708700000,0.8339,0.4547,0.5453,1.3783,0.5795,0.4205,0.794,0.4426,0.5574,1.6021,38743.0,24182.0
1700709000000,0.8232,0.4515,0.5485,1.3768,0.5793,0.4207,0.7921,0.442,0.558,1.6021,38743.0,24182.0
1700709300000,0.8205,0.4507,0.5493,1.3755,0.579,0.421,0.796,0.4432,0.5568,1.6021,38743.0,24182.0
1700709600000,0.8123,0.4482,0.5518,1.3747,0.5789,0.4211,0.7889,0.441,0.559,1.6021,38743.0,24182.0
1700709900000,0.8208,0.4508,0.5492,1.3746,0.5789,0.4211,0.7864,0.4402,0.5598,1.6021,38743.0,24182.0
1700710200000,0.8073,0.4467,0.5533,1.3728,0.5785,0.4215,0.7854,0.4399,0.5601,1.6021,38743.0,24182.0
1700710500000,0.8015,0.4449,0.5551,1.3731,0.5786,0.4214,0.7921,0.442,0.558,1.6021,38743.0,24182.0
1700710800000,0.8005,0.4446,0.5554,1.3719,0.5784,0.4216,0.7924,0.4421,0.5579,1.6021,38743.0,24182.0
1700711100000,0.8015,0.4449,0.5551,1.3727,0.5785,0.4215,0.7902,0.4414,0.5586,1.6021,38743.0,24182.0
1700712300000,0.7989,0.4441,0.5559,1.3731,0.5786,0.4214,0.786,0.4401,0.5599,1.6021,38743.0,24182.0
1700712600000,0.7969,0.4435,0.5565,1.3728,0.5786,0.4214,0.7908,0.4416,0.5584,1.6021,38743.0,24182.0
1700712900000,0.8034,0.4455,0.5545,1.3721,0.5784,0.4216,0.7876,0.4406,0.5594,1.6021,38743.0,24182.0
1700713200000,0.8015,0.4449,0.5551,1.3731,0.5786,0.4214,0.7915,0.4418,0.5582,1.6021,38743.0,24182.0
1700713500000,0.8034,0.4455,0.5545,1.3732,0.5786,0.4214,0.7899,0.4413,0.5587,1.6021,38743.0,24182.0
1700713800000,0.8021,0.4451,0.5549,1.3723,0.5785,0.4215,0.7921,0.442,0.558,1.6021,38743.0,24182.0
1700714100000,0.8038,0.4456,0.5544,1.3732,0.5786,0.4214,0.7957,0.4431,0.5569,1.6021,38743.0,24182.0
1700714400000,0.8057,0.4462,0.5538,1.3742,0.5788,0.4212,0.795,0.4429,0.5571,1.6021,38743.0,24182.0
1700714700000,0.8051,0.446,0.554,1.3723,0.5785,0.4215,0.7953,0.443,0.557,1.6021,38743.0,24182.0
1700715000000,0.8028,0.4453,0.5547,1.3723,0.5785,0.4215,0.7982,0.4439,0.5561,1.6021,38743.0,24182.0
1700715300000,0.8044,0.4458,0.5542,1.3712,0.5783,0.4217,0.8064,0.4464,0.5536,1.6021,38743.0,24182.0
1700715600000,0.8123,0.4482,0.5518,1.3756,0.5791,0.4209,0.808,0.4469,0.5531,1.6021,38743.0,24182.0
1700715900000,0.8185,0.4501,0.5499,1.3739,0.5788,0.4212,0.81,0.4475,0.5525,1.6021,38743.0,24182.0
1700716200000,0.8212,0.4509,0.5491,1.3743,0.5788,0.4212,0.807,0.4466,0.5534,1.6021,38743.0,24182.0
1700716500000,0.8179,0.4499,0.5501,1.376,0.5791,0.4209,0.809,0.4472,0.5528,1.6021,38743.0,24182.0
1700716800000,0.8212,0.4509,0.5491,1.3748,0.5789,0.4211,0.807,0.4466,0.5534,1.6021,38743.0,24182.0
1700717100000,0.8218,0.4511,0.5489,1.3724,0.5785,0.4215,0.8064,0.4464,0.5536,1.6021,38743.0,24182.0
1700717400000,0.8238,0.4517,0.5483,1.3671,0.5775,0.4225,0.8106,0.4477,0.5523,1.6021,38743.0,24182.0
1700717700000,0.8369,0.4556,0.5444,1.3632,0.5768,0.4232,0.8044,0.4458,0.5542,1.6021,38743.0,24182.0
1700718000000,0.8332,0.4545,0.5455,1.3614,0.5765,0.4235,0.7982,0.4439,0.5561,1.6021,38743.0,24182.0
1700718300000,0.8312,0.4539,0.5461,1.3605,0.5764,0.4236,0.7973,0.4436,0.5564,1.6021,38743.0,24182.0
1700718600000,0.8308,0.4538,0.5462,1.3574,0.5758,0.4242,0.7928,0.4422,0.5578,1.6021,38743.0,24182.0
1700718900000,0.8308,0.4538,0.5462,1.3551,0.5754,0.4246,0.7854,0.4399,0.5601,1.6021,38743.0,24182.0
1700719200000,0.8202,0.4506,0.5494,1.3522,0.5749,0.4251,0.7889,0.441,0.559,1.6021,38743.0,24182.0
1700719500000,0.8208,0.4508,0.5492,1.3519,0.5748,0.4252,0.7819,0.4388,0.5612,1.6021,38743.0,24182.0
1700719800000,0.8146,0.4489,0.5511,1.3501,0.5745,0.4255,0.7813,0.4386,0.5614,1.6021,38743.0,24182.0
1700720100000,0.8162,0.4494,0.5506,1.3499,0.5744,0.4256,0.7718,0.4356,0.5644,1.6021,38743.0,24182.0
1700720400000,0.8047,0.4459,0.5541,1.35,0.5745,0.4255,0.7749,0.4366,0.5634,1.6021,38743.0,24182.0
1700720700000,0.806,0.4463,0.5537,1.3475,0.574,0.426,0.7797,0.4381,0.5619,1.6021,38743.0,24182.0
1700721000000,0.8064,0.4464,0.5536,1.348,0.5741,0.4259,0.7787,0.4378,0.5622,1.6021,38743.0,24182.0
1700721300000,0.8057,0.4462,0.5538,1.3489,0.5743,0.4257,0.774,0.4363,0.5637,1.6021,38743.0,24182.0
1700721600000,0.8031,0.4454,0.5546,1.3482,0.5741,0.4259,0.7775,0.4374,0.5626,1.6021,38743.0,24182.0
1700721900000,0.8051,0.446,0.554,1.3467,0.5739,0.4261,0.7775,0.4374,0.5626,1.6021,38743.0,24182.0
1700722200000,0.8057,0.4462,0.5538,1.3491,0.5743,0.4257,0.7806,0.4384,0.5616,1.6021,38743.0,24182.0
1700722500000,0.8073,0.4467,0.5533,1.3509,0.5746,0.4254,0.7803,0.4383,0.5617,1.6021,38743.0,24182.0
1700722800000,0.8051,0.446,0.554,1.3469,0.5739,0.4261,0.7915,0.4418,0.5582,1.6021,38743.0,24182.0
1700723100000,0.8119,0.4481,0.5519,1.348,0.5741,0.4259,0.7895,0.4412,0.5588,1.6021,38743.0,24182.0
1700723400000,0.8106,0.4477,0.5523,1.3477,0.574,0.426,0.7886,0.4409,0.5591,1.6021,38743.0,24182.0
