Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.527,0.527,0.526,0.527,29359.9,1700733359999,15464.6816,41,21374.2,11264.2034,0,14017568.2
1700733360000,0.528,0.528,0.527,0.527,1243.2,1700733419999,655.3724,9,206,108.7680,0,14018040.3
1700733420000,0.527,0.528,0.527,0.527,10933.1,1700733479999,5769.6318,27,7888.1,4164.9168,0,14017466.3
1700733480000,0.528,0.528,0.527,0.527,734.3,1700733539999,387.1765,14,200.4,105.8112,0,14017450.0
1700733540000,0.528,0.528,0.527,0.527,3745.9,1700733599999,1976.3569,13,2267.6,1197.2928,0,14019779.2
1700733600000,0.527,0.528,0.527,0.528,4703.4,1700733659999,2482.2039,33,3512.1,1854.3888,0,14026868.9
1700733660000,0.527,0.528,0.526,0.527,52447.3,1700733719999,27635.0790,75,901.6,475.4787,0,14031672.5
1700733720000,0.526,0.527,0.526,0.526,7175.6,1700733779999,3778.6746,18,4309,2270.8430,0,14033954.8
1700733780000,0.527,0.527,0.526,0.527,13905.3,1700733839999,7327.4063,20,13218.5,6966.1495,0,14037836.8
1700733840000,0.527,0.527,0.526,0.527,7043.4,1700733899999,3707.6100,32,2781.6,1465.9032,0,14037637.7
1700733900000,0.526,0.527,0.525,0.525,35821.9,1700733959999,18840.9912,91,502.3,264.7121,0,14021227.6
1700733960000,0.526,0.526,0.525,0.526,1125.9,1700734019999,592.2081,4,1110.6,584.1756,0,14021609.5
1700734020000,0.526,0.526,0.525,0.526,59114.2,1700734079999,31094.0445,38,59089.5,31081.0770,0,14022511.3
1700734080000,0.527,0.527,0.526,0.526,16824.3,1700734139999,8850.8609,32,1279.1,674.0857,0,14021161.1
1700734140000,0.525,0.526,0.525,0.526,1335.1,1700734199999,701.5473,5,619.8,326.0148,0,14021683.7
1700734200000,0.526,0.526,0.525,0.526,2258.5,1700734259999,1186.1174,5,404.9,212.9774,0,14025064.4
1700734260000,0.526,0.526,0.525,0.526,3420.7,1700734319999,1799.2482,5,3380.7,1778.2482,0,14025389.3
1700734320000,0.525,0.526,0.525,0.526,590.9,1700734379999,310.5474,4,324.9,170.8974,0,14027004.1
1700734380000,0.525,0.526,0.525,0.526,1846.5,1700734439999,969.8733,13,460.8,242.3808,0,14027651.6
1700734440000,0.525,0.526,0.525,0.526,862.8,1700734499999,453.5437,7,573.7,301.7662,0,14027909.8
1700734500000,0.525,0.526,0.525,0.525,114988.8,1700734559999,60371.8529,297,33902.8,17801.7029,0,14029592.5
1700734560000,0.524,0.525,0.524,0.524,9187.2,1700734619999,4822.1020,17,8009.2,4204.8300,0,14029609.7
1700734620000,0.524,0.525,0.524,0.525,1028.3,1700734679999,539.1050,9,275.8,144.7950,0,14030652.5
1700734680000,0.524,0.525,0.524,0.525,66536.6,1700734739999,34931.5296,56,34471.5,18097.5375,0,14032176.0
1700734740000,0.525,0.525,0.524,0.524,182.8,1700734799999,95.9460,2,158.8,83.3700,0,14031114.1
1700734800000,0.524,0.525,0.523,0.524,103588.6,1700734859999,54280.4066,139,22114.2,11588.1376,0,14048157.7
1700734860000,0.524,0.525,0.524,0.524,23143.5,1700734919999,12139.3635,46,12169.5,6388.9875,0,14056208.2
1700734920000,0.525,0.525,0.524,0.524,2791.1,1700734979999,1463.6753,4,1138.9,597.9225,0,14056184.2
1700734980000,0.525,0.525,0.524,0.524,571.7,1700735039999,300.0461,5,475.3,249.5325,0,14056112.6
1700735040000,0.525,0.525,0.524,0.524,33721.6,1700735099999,17670.3753,44,18497,9692.6849,0,14049242.7
1700735100000,0.524,0.524,0.524,0.524,39747.2,1700735159999,20827.5328,47,26253.8,13756.9912,0,14059515.2
1700735160000,0.524,0.525,0.524,0.524,48754.2,1700735219999,25547.3596,58,35568.9,18638.2624,0,14059515.2
1700735220000,0.525,0.525,0.524,0.524,369.9,1700735279999,193.9864,12,158.8,83.3700,0,14056807.8
1700735280000,0.525,0.525,0.524,0.524,24738.9,1700735339999,12963.3424,37,15302.2,8018.5116,0,14056807.8
1700735340000,0.524,0.524,0.524,0.524,196.1,1700735399999,102.7564,10,0,0,0,14048596.4
1700735400000,0.525,0.525,0.524,0.525,31674.9,1700735459999,16597.9262,65,10368.4,5433.3202,0,14045928.3
1700735460000,0.524,0.525,0.524,0.524,2605.5,1700735519999,1367.4312,4,2149.2,1128.3300,0,14045889.0
1700735520000,0.525,0.525,0.524,0.525,210.3,1700735579999,110.3835,4,186.3,97.8075,0,14045888.7
1700735580000,0.525,0.525,0.524,0.525,332.8,1700735639999,174.6274,9,240.2,126.1050,0,14048903.5
1700735640000,0.524,0.525,0.523,0.523,40174,1700735699999,21053.0603,97,16569.9,8684.5359,0,14043615.2
1700735700000,0.523,0.525,0.523,0.524,26569.9,1700735759999,13921.9363,45,10325.1,5410.3772,0,14046255.7
1700735760000,0.523,0.523,0.523,0.523,33043,1700735819999,17281.4890,60,13819.2,7227.4416,0,14057899.4
1700735820000,0.523,0.523,0.523,0.523,6967.8,1700735879999,3644.1594,5,0,0,0,14056019.5
1700735880000,0.524,0.524,0.523,0.523,393.4,1700735939999,205.9799,7,231.7,121.4108,0,14059905.1
1700735940000,0.523,0.524,0.523,0.523,5772.3,1700735999999,3019.0717,10,158.8,83.2112,0,14060727.8
1700736000000,0.524,0.524,0.523,0.523,8989.6,1700736059999,4703.1168,13,1556,815.3440,0,14062278.2
1700736060000,0.524,0.524,0.523,0.523,182.8,1700736119999,95.7632,2,158.8,83.2112,0,14072007.2
1700736120000,0.524,0.524,0.523,0.523,33525.7,1700736179999,17534.1639,57,222.8,116.7472,0,14082114.7
