timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681084920000,1857.7,1858.75,1857.44,1858.07,438.005,1681084979999,813744.21979,349,279.206,518684.8875,0
1681084980000,1858.07,1859.19,1858.07,1859.19,31.945,1681085039999,59377.36092,106,31.225,58039.35716,0
1681085040000,1859.19,1859.19,1859.18,1859.18,5.912,1681085099999,10991.47996,16,0.78,1450.1682,0
1681085100000,1859.19,1859.43,1859.18,1859.43,58.092,1681085159999,108010.6468,82,57.363,106655.29498,0
1681085160000,1859.42,1859.85,1859.42,1859.85,113.629,1681085219999,211309.77554,118,93.336,173569.6827,0
1681085220000,1859.85,1859.98,1859.84,1859.97,49.227,1681085279999,91559.14923,62,48.917,90982.56909,0
1681085280000,1859.98,1861.09,1859.97,1861.08,297.448,1681085339999,553397.88559,294,273.096,508088.06087,0
1681085340000,1861.08,1861.16,1860.9,1861.16,143.323,1681085399999,266732.96704,122,37.106,69054.98452,0
1681085400000,1861.17,1862.05,1861.17,1861.8,308.434,1681085459999,574232.47797,205,197.232,367176.48615,0
1681085460000,1861.8,1861.8,1861.19,1861.2,275.896,1681085519999,513563.98705,109,65.409,121739.50135,0
1681085520000,1861.2,1862.23,1861.19,1862.23,413.43,1681085579999,769785.97551,140,383.537,714121.81771,0
1681085580000,1862.22,1862.56,1862.22,1862.56,156.481,1681085639999,291414.17034,144,101.096,188274.39666,0
1681085640000,1862.55,1862.55,1861.67,1861.68,397.507,1681085699999,740314.63755,200,70.268,130862.40999,0
1681085700000,1861.67,1862.5,1861.67,1861.98,348.2,1681085759999,648333.28279,177,193.309,359900.25043,0
1681085760000,1861.97,1862.5,1861.97,1862.04,207.277,1681085819999,386034.47103,89,69.697,129797.63647,0
1681085820000,1862.03,1862.03,1860.91,1861.46,312.679,1681085879999,581976.95987,172,45.054,83847.01108,0
1681085880000,1861.47,1861.47,1861.0,1861.22,84.45,1681085939999,157190.94241,59,13.515,25152.31783,0
1681085940000,1861.21,1861.47,1861.21,1861.46,27.702,1681085999999,51563.8181,43,18.811,35013.60174,0
1681086000000,1861.47,1861.47,1861.46,1861.47,7.696,1681086059999,14325.86758,25,7.142,13294.61874,0
1681086060000,1861.47,1861.47,1861.02,1861.03,45.566,1681086119999,84812.26757,41,1.301,2421.57095,0
1681086120000,1861.02,1861.2,1860.14,1861.2,133.813,1681086179999,248966.17894,166,53.863,100211.84117,0
1681086180000,1861.21,1861.21,1860.47,1860.75,72.648,1681086239999,135177.83816,71,22.976,42749.28112,0
1681086240000,1861.01,1861.02,1860.6,1860.88,75.035,1681086299999,139622.13149,56,34.615,64405.46764,0
1681086300000,1860.88,1861.11,1860.87,1861.1,3.264,1681086359999,6074.23233,27,1.895,3526.62542,0
1681086360000,1861.1,1861.68,1861.1,1861.68,37.336,1681086419999,69496.84045,66,33.162,61727.11141,0
1681086420000,1861.68,1862.11,1861.67,1862.1,63.499,1681086479999,118226.30261,75,59.192,110206.70612,0
1681086480000,1862.1,1862.83,1862.1,1862.82,100.388,1681086539999,186968.67917,101,66.151,123208.01806,0
