Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,99.090000,99.130000,99.060000,99.100000,33.3,1700733359999,3299.8880000,42,14.5,1436.9640000,0,29589.2
1700733360000,99.110000,99.140000,99.100000,99.100000,19.1,1700733419999,1893.1180000,29,5.1,505.5040000,0,29586.6
1700733420000,99.130000,99.150000,99.130000,99.150000,9.1,1700733479999,902.1750000,12,9,892.2620000,0,29596.8
1700733480000,99.150000,99.150000,99.110000,99.120000,15.3,1700733539999,1516.5670000,42,3.3,327.1480000,0,29596.1
1700733540000,99.130000,99.180000,99.130000,99.170000,13.4,1700733599999,1328.6870000,42,8.1,803.2300000,0,29599.9
1700733600000,99.150000,99.230000,99.150000,99.230000,27.4,1700733659999,2717.7930000,103,9.4,932.4020000,0,29585.7
1700733660000,99.230000,99.230000,99.130000,99.160000,25.4,1700733719999,2519.3610000,50,3.3,327.1900000,0,29581.9
1700733720000,99.160000,99.180000,99.130000,99.160000,27.7,1700733779999,2746.4890000,54,15.6,1546.8080000,0,29584.5
1700733780000,99.160000,99.200000,99.160000,99.200000,29.3,1700733839999,2906.0420000,63,13.1,1299.3130000,0,29591.8
1700733840000,99.190000,99.220000,99.160000,99.210000,20.8,1700733899999,2063.1160000,37,9.4,932.4220000,0,29588.3
1700733900000,99.210000,99.210000,99.080000,99.110000,173.8,1700733959999,17230.5970000,138,42.1,4173.1120000,0,29623.8
1700733960000,99.120000,99.160000,99.110000,99.160000,64.3,1700734019999,6373.4750000,78,25,2478.1220000,0,29624.9
1700734020000,99.160000,99.210000,99.160000,99.200000,50.7,1700734079999,5028.9180000,89,36.3,3600.5640000,0,29643.1
1700734080000,99.200000,99.250000,99.200000,99.200000,68.7,1700734139999,6816.0620000,72,19.3,1914.8200000,0,29664.5
1700734140000,99.190000,99.190000,99.120000,99.140000,19,1700734199999,1883.9650000,37,0,0,0,29658.2
1700734200000,99.160000,99.180000,99.150000,99.150000,30.3,1700734259999,3004.8660000,57,20.1,1993.2710000,0,29682.1
1700734260000,99.150000,99.230000,99.150000,99.190000,58.1,1700734319999,5762.9290000,58,51.5,5108.2860000,0,29682.3
1700734320000,99.200000,99.200000,99.150000,99.190000,18,1700734379999,1785.2100000,40,9.6,952.1020000,0,29681.4
1700734380000,99.200000,99.220000,99.180000,99.180000,13.2,1700734439999,1309.5370000,37,3.8,377.0220000,0,29698.1
