Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.1973000,0.1975000,0.1973000,0.1975000,45825,1700733359999,9046.9741000,50,35217,6953.3335000,0,25608351
1700733360000,0.1975000,0.1975000,0.1974000,0.1975000,7571,1700733419999,1494.9603000,21,2827,558.3325000,0,25607269
1700733420000,0.1976000,0.1977000,0.1976000,0.1977000,9114,1700733479999,1801.3321000,20,8925,1763.9668000,0,25600912
1700733480000,0.1977000,0.1977000,0.1976000,0.1977000,20987,1700733539999,4148.1397000,15,11085,2191.5045000,0,25599747
1700733540000,0.1976000,0.1978000,0.1976000,0.1978000,43768,1700733599999,8656.5504000,50,33003,6527.4656000,0,25622917
1700733600000,0.1978000,0.1979000,0.1977000,0.1978000,30977,1700733659999,6127.5390000,55,22420,4434.9675000,0,25634117
1700733660000,0.1978000,0.1979000,0.1974000,0.1975000,98817,1700733719999,19531.9738000,58,5150,1017.6367000,0,25644249
1700733720000,0.1974000,0.1975000,0.1973000,0.1974000,38870,1700733779999,7674.0737000,40,31762,6270.9700000,0,25634872
1700733780000,0.1975000,0.1975000,0.1973000,0.1974000,16878,1700733839999,3331.7464000,29,2594,512.1075000,0,25637531
1700733840000,0.1974000,0.1975000,0.1973000,0.1973000,56347,1700733899999,11119.7169000,53,8187,1616.5036000,0,25623159
1700733900000,0.1974000,0.1975000,0.1974000,0.1974000,22411,1700733959999,4423.9649000,23,18467,3645.4193000,0,25623876
1700733960000,0.1974000,0.1975000,0.1974000,0.1975000,12358,1700734019999,2440.6913000,21,12221,2413.6475000,0,25638744
1700734020000,0.1975000,0.1976000,0.1975000,0.1975000,24340,1700734079999,4807.4020000,54,17822,3520.0970000,0,25653867
1700734080000,0.1975000,0.1976000,0.1975000,0.1975000,31457,1700734139999,6214.8623000,26,4748,938.2048000,0,25644241
1700734140000,0.1975000,0.1975000,0.1975000,0.1975000,12568,1700734199999,2482.1800000,16,3732,737.0700000,0,25643374
1700734200000,0.1976000,0.1976000,0.1975000,0.1975000,200,1700734259999,39.5150000,2,150,29.6400000,0,25641005
1700734260000,0.1975000,0.1978000,0.1975000,0.1978000,126957,1700734319999,25099.6636000,68,113929,22524.5342000,0,25688943
1700734320000,0.1977000,0.1977000,0.1976000,0.1977000,24898,1700734379999,4922.0783000,24,6097,1205.3769000,0,25685502
1700734380000,0.1978000,0.1978000,0.1977000,0.1978000,7286,1700734439999,1441.1538000,5,7116,1407.5448000,0,25685398
1700734440000,0.1977000,0.1978000,0.1977000,0.1977000,3150,1700734499999,622.8212000,10,662,130.9436000,0,25685098
1700734500000,0.1978000,0.1978000,0.1977000,0.1977000,564,1700734559999,111.5060000,7,242,47.8466000,0,25655815
1700734560000,0.1977000,0.1977000,0.1975000,0.1975000,40060,1700734619999,7913.2407000,35,370,73.1289000,0,25651427
1700734620000,0.1975000,0.1976000,0.1974000,0.1975000,46683,1700734679999,9219.3531000,41,29390,5804.5286000,0,25660560
1700734680000,0.1975000,0.1976000,0.1975000,0.1976000,5838,1700734739999,1153.0140000,11,2845,561.8965000,0,25662883
1700734740000,0.1975000,0.1976000,0.1975000,0.1976000,20266,1700734799999,4003.2836000,27,11615,2294.6866000,0,25678969
1700734800000,0.1976000,0.1977000,0.1976000,0.1976000,25202,1700734859999,4979.9432000,16,22603,4466.3808000,0,25699247
1700734860000,0.1977000,0.1978000,0.1977000,0.1977000,22840,1700734919999,4515.6193000,26,22478,4444.0519000,0,25714644
1700734920000,0.1978000,0.1980000,0.1978000,0.1979000,53845,1700734979999,10655.6397000,78,53544,10596.0718000,0,25717303
1700734980000,0.1980000,0.1980000,0.1978000,0.1979000,37382,1700735039999,7397.7173000,48,17819,3526.4160000,0,25714800
1700735040000,0.1979000,0.1979000,0.1976000,0.1976000,51017,1700735099999,10084.8380000,58,3318,655.9686000,0,25704156
