Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,52.140000,52.220000,52.140000,52.210000,104.42,1700733359999,5448.87850000,74,80.72,4212.15940000,0,155934.36
1700733360000,52.200000,52.280000,52.200000,52.280000,183.99,1700733419999,9612.96190000,149,154.18,8055.42470000,0,156007.29
1700733420000,52.280000,52.310000,52.250000,52.300000,104.35,1700733479999,5454.53400000,109,76.94,4022.16570000,0,156043.89
1700733480000,52.280000,52.300000,52.240000,52.240000,204.37,1700733539999,10681.96740000,69,138.21,7223.73440000,0,156092.80
1700733540000,52.240000,52.260000,52.220000,52.250000,170.64,1700733599999,8914.46610000,71,145.72,7612.79730000,0,156104.32
1700733600000,52.240000,52.240000,52.160000,52.170000,131.77,1700733659999,6877.39100000,98,57.59,3005.41950000,0,156112.78
1700733660000,52.170000,52.170000,52.090000,52.090000,98.55,1700733719999,5136.05560000,65,35.41,1845.00210000,0,156157.12
1700733720000,52.080000,52.100000,52.080000,52.100000,148.16,1700733779999,7716.98500000,76,99.96,5206.35750000,0,156200.17
1700733780000,52.100000,52.120000,52.100000,52.120000,97.09,1700733839999,5059.57750000,42,38.29,1995.34180000,0,156236.08
1700733840000,52.130000,52.130000,52.120000,52.120000,87.45,1700733899999,4558.09850000,48,11.46,597.37550000,0,156256.33
1700733900000,52.110000,52.110000,52.080000,52.090000,93.73,1700733959999,4883.18020000,65,43.81,2282.47890000,0,156249.45
1700733960000,52.100000,52.110000,52.060000,52.060000,65.90,1700734019999,3432.16630000,54,33.64,1752.26510000,0,156280.17
1700734020000,52.080000,52.110000,52.080000,52.110000,67.64,1700734079999,3523.63060000,39,51.80,2698.68060000,0,156279.93
1700734080000,52.120000,52.120000,52.090000,52.090000,64.77,1700734139999,3375.04250000,47,38.43,2002.50010000,0,156303.29
1700734140000,52.090000,52.090000,52.060000,52.060000,75.20,1700734199999,3916.14880000,50,10.98,571.90870000,0,156296.32
1700734200000,52.080000,52.110000,52.070000,52.070000,52.54,1700734259999,2736.50710000,46,29.30,1525.98150000,0,156326.59
1700734260000,52.080000,52.090000,52.060000,52.090000,30.84,1700734319999,1606.15400000,23,24.18,1259.36780000,0,156341.55
1700734320000,52.100000,52.130000,52.090000,52.130000,56.37,1700734379999,2937.50050000,36,22.52,1173.62460000,0,156385.16
1700734380000,52.140000,52.150000,52.040000,52.100000,1045.65,1700734439999,54461.15030000,210,153.45,7997.79050000,0,155684.05
1700734440000,52.100000,52.110000,52.100000,52.100000,29.10,1700734499999,1516.14500000,20,11.65,607,0,155718.83
1700734500000,52.090000,52.090000,52.050000,52.060000,78.36,1700734559999,4080.75590000,42,24.72,1287.33770000,0,155772.62
1700734560000,52.050000,52.060000,51.990000,52.010000,239.85,1700734619999,12479.00650000,69,20.95,1090.27630000,0,155900.79
1700734620000,52,52.020000,51.980000,52.010000,105.34,1700734679999,5476.86830000,50,17.37,903.34410000,0,155914.45
