Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.0806,0.0807,0.0805,0.0807,75792,1700733359999,6108.2340,38,69248,5581.4420,0,79806335
1700733360000,0.0806,0.0807,0.0806,0.0807,4017,1700733419999,323.9137,6,1435,115.8045,0,79806335
1700733420000,0.0806,0.0807,0.0806,0.0807,3407,1700733479999,274.9300,5,3258,262.9206,0,79804905
1700733480000,0.0806,0.0807,0.0806,0.0807,681,1700733539999,54.9418,2,532,42.9324,0,79804905
1700733540000,0.0806,0.0807,0.0806,0.0807,54292,1700733599999,4381.3495,25,14118,1139.3226,0,79765428
1700733600000,0.0807,0.0807,0.0806,0.0806,16329,1700733659999,1317.6838,16,15664,1264.0848,0,79769083
1700733660000,0.0806,0.0807,0.0806,0.0806,102270,1700733719999,8243.2760,50,3140,253.3980,0,79807378
1700733720000,0.0805,0.0806,0.0805,0.0805,10248,1700733779999,824.9977,7,337,27.1622,0,79808842
1700733780000,0.0805,0.0806,0.0805,0.0806,90945,1700733839999,7330.0225,36,44906,3619.4236,0,79808351
1700733840000,0.0805,0.0806,0.0805,0.0806,31219,1700733899999,2515.7732,13,26437,2130.8222,0,79823595
1700733900000,0.0806,0.0806,0.0805,0.0805,2289,1700733959999,184.2934,3,289,23.2934,0,79822460
1700733960000,0.0806,0.0806,0.0805,0.0805,5154,1700734019999,415.3005,11,4035,325.2210,0,79822460
1700734020000,0.0806,0.0806,0.0806,0.0806,15059,1700734079999,1213.7554,11,14162,1141.4572,0,79823423
1700734080000,0.0807,0.0807,0.0805,0.0805,64645,1700734139999,5210.2753,20,273,22.0311,0,79870073
1700734140000,0.0805,0.0805,0.0805,0.0805,5829,1700734199999,469.2345,2,0,0,0,79870730
1700734200000,0.0806,0.0806,0.0805,0.0805,32186,1700734259999,2591.0387,20,657,52.9542,0,79890724
1700734260000,0.0805,0.0805,0.0805,0.0805,145,1700734319999,11.6725,1,0,0,0,79892118
