Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.0078170,0.0078210,0.0078160,0.0078210,311966,1700733359999,2438.9423020,27,289721,2265.0583960,0,741305032
1700733360000,0.0078210,0.0078240,0.0078210,0.0078240,424082,1700733419999,3317.7518360,35,241700,1890.9774500,0,741227713
1700733420000,0.0078230,0.0078240,0.0078210,0.0078240,131166,1700733479999,1025.9829360,21,22902,179.1416060,0,741263338
1700733480000,0.0078230,0.0078280,0.0078230,0.0078280,614013,1700733539999,4804.4070510,26,526423,4119.1904810,0,741381669
1700733540000,0.0078260,0.0078300,0.0078260,0.0078280,531327,1700733599999,4159.4704600,21,153656,1203.0710150,0,741387106
1700733600000,0.0078290,0.0078290,0.0078230,0.0078230,1043393,1700733659999,8164.6953540,115,99066,775.5730530,0,741068746
1700733660000,0.0078260,0.0078280,0.0078170,0.0078170,435261,1700733719999,3405.6993870,53,184936,1447.4060080,0,741073777
1700733720000,0.0078170,0.0078170,0.0078050,0.0078090,1817794,1700733779999,14193.2610430,88,106113,828.6338170,0,740415921
1700733780000,0.0078090,0.0078100,0.0078070,0.0078090,200156,1700733839999,1562.8768500,34,111669,872.0481560,0,740448190
1700733840000,0.0078100,0.0078130,0.0078080,0.0078090,123841,1700733899999,967.2704470,31,76786,599.8484650,0,740290869
1700733900000,0.0078100,0.0078100,0.0078020,0.0078040,585187,1700733959999,4567.1903840,69,56917,444.3394290,0,740591513
1700733960000,0.0078040,0.0078040,0.0078000,0.0078010,678580,1700734019999,5294.5713360,59,474166,3700.0081790,0,740080301
1700734020000,0.0078020,0.0078040,0.0077890,0.0077930,3632463,1700734079999,28317.3422640,138,417902,3259.4833260,0,740079138
1700734080000,0.0077930,0.0077980,0.0077910,0.0077910,388660,1700734139999,3030.0866690,47,113496,884.8364110,0,740257321
1700734140000,0.0077910,0.0077910,0.0077860,0.0077860,163597,1700734199999,1273.9452260,21,0,0,0,740267918
1700734200000,0.0077860,0.0077880,0.0077810,0.0077810,288641,1700734259999,2246.8966080,44,78045,607.7036430,0,740466204
1700734260000,0.0077820,0.0077840,0.0077810,0.0077830,241640,1700734319999,1880.4083810,21,90557,704.8315580,0,740455983
1700734320000,0.0077810,0.0077860,0.0077790,0.0077840,433376,1700734379999,3372.4045950,64,246505,1918.4100450,0,740440747
1700734380000,0.0077850,0.0077850,0.0077830,0.0077830,244913,1700734439999,1906.3130740,26,23826,185.4798340,0,740410299
1700734500000,0.0077870,0.0077870,0.0077840,0.0077840,488223,1700734559999,3801.1061310,24,0,0,0,740673045
1700734560000,0.0077840,0.0077840,0.0077680,0.0077690,779752,1700734619999,6064.3721520,70,24860,193.1796100,0,740751539
1700734620000,0.0077680,0.0077770,0.0077670,0.0077760,254649,1700734679999,1978.7941770,54,178409,1386.5678910,0,740753491
1700734680000,0.0077760,0.0077790,0.0077760,0.0077790,150517,1700734739999,1170.7046430,26,137423,1068.8541570,0,740728617
1700734740000,0.0077790,0.0077790,0.0077770,0.0077770,39085,1700734799999,304.0099930,8,0,0,0,740758019
1700734800000,0.0077780,0.0077780,0.0077720,0.0077720,208144,1700734859999,1618.2801560,38,17166,133.4809200,0,740766806
1700734860000,0.0077710,0.0077740,0.0077700,0.0077730,138402,1700734919999,1075.7001270,21,119071,925.4957620,0,740792439
1700734920000,0.0077740,0.0077770,0.0077740,0.0077760,190324,1700734979999,1479.9851790,24,157274,1222.9883790,0,740807609
1700734980000,0.0077760,0.0077770,0.0077750,0.0077760,158408,1700735039999,1231.7811210,30,152693,1187.3460920,0,740375836
1700735040000,0.0077750,0.0077750,0.0077570,0.0077580,1091020,1700735099999,8469.9023700,109,14978,116.2964890,0,740460414
1700735100000,0.0077590,0.0077590,0.0077540,0.0077570,184824,1700735159999,1433.5277540,63,100940,782.9386170,0,740480933
1700735160000,0.0077570,0.0077610,0.0077560,0.0077570,367442,1700735219999,2850.3745730,32,183620,1424.3485000,0,740480439
1700735220000,0.0077580,0.0077640,0.0077580,0.0077640,162111,1700735279999,1258.3715850,42,148773,1154.8687050,0,740541230
1700735280000,0.0077630,0.0077640,0.0077580,0.0077610,363837,1700735339999,2823.9935670,54,86676,672.6717650,0,740533185
1700735340000,0.0077620,0.0077640,0.0077620,0.0077640,91110,1700735399999,707.2759740,16,91110,707.2759740,0,740523028
1700735400000,0.0077650,0.0077680,0.0077650,0.0077670,101115,1700735459999,785.2753470,28,96717,751.1248770,0,740525604
1700735460000,0.0077680,0.0077740,0.0077680,0.0077710,352444,1700735519999,2738.6937110,88,288078,2238.6583850,0,740594196
1700735520000,0.0077710,0.0077740,0.0077710,0.0077720,140598,1700735579999,1092.7413250,30,120573,937.0870000,0,740627903
1700735580000,0.0077710,0.0077710,0.0077660,0.0077660,74499,1700735639999,578.6739620,14,16684,129.6179960,0,740685563
1700735640000,0.0077670,0.0077670,0.0077550,0.0077550,407120,1700735699999,3160.9422150,42,21367,165.9574890,0,740760039
1700735700000,0.0077560,0.0077570,0.0077410,0.0077410,1401814,1700735759999,10862.4038800,125,290314,2250.2816480,0,740937361
1700735760000,0.0077440,0.0077450,0.0077350,0.0077400,1160476,1700735819999,8982.6484310,123,502071,3887.1661230,0,741047359
1700735820000,0.0077400,0.0077490,0.0077390,0.0077490,444004,1700735879999,3438.4756870,60,430836,3336.5620020,0,741177032
1700735880000,0.0077480,0.0077560,0.0077480,0.0077530,229954,1700735939999,1782.7342320,38,169928,1317.2664680,0,741216554
1700735940000,0.0077520,0.0077520,0.0077370,0.0077450,364728,1700735999999,2823.9912330,76,77080,596.8607440,0,741232169
1700736000000,0.0077460,0.0077480,0.0077450,0.0077480,131085,1700736059999,1015.3145290,44,23305,180.5380220,0,741170025
1700736060000,0.0077480,0.0077480,0.0077450,0.0077470,164465,1700736119999,1273.9018200,21,11899,92.1815530,0,741184691
1700736120000,0.0077480,0.0077510,0.0077480,0.0077490,333169,1700736179999,2581.9677240,29,86660,671.6148410,0,741428819
1700736180000,0.0077480,0.0077480,0.0077410,0.0077410,190067,1700736239999,1472.4146410,25,0,0,0,741401436
1700736240000,0.0077410,0.0077460,0.0077400,0.0077460,123269,1700736299999,954.4746740,37,92273,714.5429130,0,741400088
1700736300000,0.0077450,0.0077450,0.0077410,0.0077420,148040,1700736359999,1146.2256200,38,53406,413.4866310,0,741418971
1700736360000,0.0077410,0.0077420,0.0077380,0.0077420,133983,1700736419999,1037.1440360,32,26461,204.8353500,0,741377268
1700736420000,0.0077390,0.0077410,0.0077380,0.0077410,70682,1700736479999,547.1105440,14,56681,438.7676210,0,741399969
1700736480000,0.0077410,0.0077420,0.0077360,0.0077360,701593,1700736539999,5430.8630800,27,78423,607.0761990,0,741381705
1700736540000,0.0077380,0.0077400,0.0077380,0.0077400,50509,1700736599999,390.9034320,18,49603,383.8928040,0,741379960
1700736600000,0.0077390,0.0077390,0.0077390,0.0077390,163345,1700736659999,1264.1269550,9,0,0,0,741462758
1700736660000,0.0077380,0.0077380,0.0077320,0.0077330,234157,1700736719999,1811.5446120,31,2942,22.7651960,0,741333047
1700736720000,0.0077310,0.0077310,0.0077220,0.0077260,776485,1700736779999,5998.9249410,86,309895,2393.9681030,0,741347678
1700736780000,0.0077250,0.0077320,0.0077220,0.0077310,443761,1700736839999,3428.8142920,73,337591,2608.8780390,0,740775677
