Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,2.587300,2.590300,2.587000,2.590200,13642,1700733359999,35305.872100,222,5110,13227.298000,0,12040617
1700733360000,2.590200,2.595200,2.590000,2.594700,14835,1700733419999,38469.106600,363,9815,25453.646300,0,12036302
1700733420000,2.594600,2.595700,2.592900,2.594700,14920,1700733479999,38704.611500,279,6326,16412.086300,0,12034510
1700733480000,2.594700,2.595700,2.592900,2.595400,11739,1700733539999,30457.709100,272,7192,18662.168500,0,12036111
1700733540000,2.595400,2.596600,2.594000,2.595200,28142,1700733599999,73051.794700,263,3982,10335.712300,0,12041288
1700733600000,2.595300,2.599600,2.594400,2.599600,28901,1700733659999,75061.375400,436,23261,60419.317600,0,12053198
1700733660000,2.599400,2.599400,2.595600,2.598300,19512,1700733719999,50682.852600,330,10799,28051.976700,0,12055486
1700733720000,2.598200,2.601000,2.593600,2.595800,48671,1700733779999,126415.128200,497,16712,43432.217400,0,12064117
1700733780000,2.596300,2.597900,2.590900,2.593200,111085,1700733839999,288228.103500,852,76739,199104.220100,0,12071860
1700733840000,2.592900,2.598300,2.591800,2.598000,81708,1700733899999,212143.777100,584,69796,181217.436100,0,12088053
1700733900000,2.598200,2.605400,2.597200,2.598200,202885,1700733959999,527961.730100,912,67756,176240.967200,0,12079160
1700733960000,2.598300,2.604800,2.598200,2.604800,32501,1700734019999,84539.244400,386,26859,69856.477700,0,12078761
1700734020000,2.604700,2.606600,2.601100,2.606100,42741,1700734079999,111271.773000,413,21395,55717.293900,0,12057434
1700734080000,2.606100,2.606500,2.602200,2.603400,71160,1700734139999,185275.778100,591,23552,61322.118900,0,12053324
1700734140000,2.603500,2.605700,2.601600,2.602800,14175,1700734199999,36903.137500,256,7094,18470.230700,0,12052364
1700734200000,2.603000,2.605500,2.595000,2.595300,35251,1700734259999,91711.616200,470,12220,31821.290500,0,12031791
1700734260000,2.595300,2.598000,2.594400,2.595300,33692,1700734319999,87451.635900,390,7798,20243.168400,0,12029829
1700734320000,2.595200,2.595200,2.592000,2.595200,9024,1700734379999,23402.321300,210,3520,9128.343000,0,12030289
1700734380000,2.595200,2.595900,2.592300,2.593200,7025,1700734439999,18222.239100,142,1335,3462.662000,0,12028757
1700734440000,2.593300,2.595700,2.592900,2.595100,12274,1700734499999,31837.351300,201,10961,28431.776900,0,12050268
1700734500000,2.595000,2.596400,2.594400,2.594600,53519,1700734559999,138883.367100,251,6083,15787.341800,0,12079819
1700734560000,2.594600,2.594700,2.591000,2.591600,44407,1700734619999,115189.129100,265,9434,24455.981800,0,12075464
1700734620000,2.591600,2.596600,2.588400,2.595800,19589,1700734679999,50790.234400,342,10102,26198.064100,0,12074202
1700734680000,2.595400,2.600400,2.595400,2.598700,9382,1700734739999,24378.430400,237,5039,13093.488600,0,12070209
1700734740000,2.598600,2.599600,2.593800,2.597800,14968,1700734799999,38856.425300,287,11976,31091.795200,0,12074190
1700734800000,2.598200,2.599800,2.596300,2.596300,4890,1700734859999,12707.590500,158,1912,4969.396400,0,12075028
1700734860000,2.596300,2.600200,2.596300,2.600200,7375,1700734919999,19165.985600,170,5108,13272.887600,0,12075167
1700734920000,2.600200,2.602700,2.600200,2.601700,7310,1700734979999,19019.119600,154,5254,13669.801600,0,12077033
1700734980000,2.601700,2.601700,2.594500,2.594600,10366,1700735039999,26928.722100,228,6047,15705.883600,0,12076221
1700735040000,2.594600,2.594900,2.590100,2.593500,13966,1700735099999,36200.840500,243,4817,12481.438500,0,12076383
1700735100000,2.593300,2.593500,2.591900,2.593000,5629,1700735159999,14595.020800,152,3751,9726.238900,0,12076236
1700735160000,2.593000,2.593500,2.589900,2.589900,3093,1700735219999,8018.006900,137,1315,3409.577700,0,12076405
1700735220000,2.589700,2.593800,2.589700,2.593500,7673,1700735279999,19886.486300,177,5697,14763.109500,0,12077180
1700735280000,2.593500,2.593500,2.588900,2.588900,6810,1700735339999,17638.682200,203,2313,5988.993600,0,12066670
1700735340000,2.588900,2.589000,2.585700,2.586700,22044,1700735399999,57036.010800,345,4200,10867.886600,0,12065819
1700735400000,2.586800,2.588600,2.586600,2.586900,4879,1700735459999,12626.019800,113,2151,5566.399300,0,12065153
1700735460000,2.587300,2.588300,2.586700,2.587900,3534,1700735519999,9144.604200,114,1844,4771.877500,0,12062669
1700735520000,2.587900,2.588300,2.585700,2.588300,13315,1700735579999,34443.043300,244,6116,15822.277300,0,12061874
1700735580000,2.587900,2.587900,2.584400,2.585100,5189,1700735639999,13416.504700,144,1511,3906.157900,0,12066420
1700735640000,2.585100,2.586300,2.582900,2.583400,14599,1700735699999,37737.153700,260,8823,22811.485300,0,12065815
1700735700000,2.583400,2.583500,2.578200,2.579000,12176,1700735759999,31417.054600,303,1020,2631.971700,0,12052229
1700735760000,2.578900,2.579500,2.573800,2.577400,41582,1700735819999,107143.123400,604,12949,33374.845800,0,12046933
1700735820000,2.577400,2.582000,2.577400,2.581900,23170,1700735879999,59787.869700,312,16105,41563.926300,0,12048467
1700735880000,2.582000,2.584400,2.580500,2.580500,14135,1700735939999,36504.142800,215,4348,11230.565300,0,12043718
1700735940000,2.581100,2.582000,2.578200,2.582000,14665,1700735999999,37822.149100,217,3161,8154.491800,0,12045023
1700736000000,2.582000,2.587100,2.581600,2.586300,10015,1700736059999,25896.031900,207,3130,8090.570500,0,12045178
1700736060000,2.586300,2.586300,2.584100,2.585800,7228,1700736119999,18687.861600,143,1555,4019.555100,0,12045876
1700736120000,2.585900,2.589500,2.585900,2.587000,14642,1700736179999,37900.819900,211,11769,30466.380000,0,12053935
1700736180000,2.586900,2.587000,2.582600,2.584800,9585,1700736239999,24777.857500,420,3581,9258.022000,0,12058841
1700736240000,2.584400,2.590000,2.584300,2.588700,10063,1700736299999,26049.546000,165,7109,18401.157800,0,12062468
1700736300000,2.588900,2.589800,2.583100,2.584600,28239,1700736359999,73036.054400,637,10307,26653.092000,0,12067313
1700736360000,2.584600,2.586800,2.583000,2.586200,13013,1700736419999,33635.134400,296,3727,9634.313700,0,12068026
1700736420000,2.586300,2.586500,2.584300,2.585300,7567,1700736479999,19564.109100,184,1624,4199.121800,0,12066737
1700736480000,2.585200,2.585200,2.583200,2.583400,8252,1700736539999,21323.073900,199,675,1743.999500,0,12065098
1700736540000,2.583400,2.585300,2.581500,2.584200,14325,1700736599999,37008.833300,283,4006,10351.602800,0,12070768
1700736600000,2.584000,2.585700,2.583800,2.583900,9820,1700736659999,25379.996400,224,3383,8743.540400,0,12072569
1700736660000,2.583800,2.584700,2.582300,2.582900,6918,1700736719999,17870.859500,167,4221,10902.934500,0,12073186
1700736720000,2.582900,2.583800,2.582500,2.583600,7040,1700736779999,18185.977100,112,3290,8499.013100,0,12074849
1700736780000,2.583700,2.584700,2.582800,2.584700,8894,1700736839999,22976.961300,148,1709,4415.221000,0,12074247
1700736840000,2.584700,2.584800,2.582500,2.583900,16136,1700736899999,41689.048500,249,5996,15490.958600,0,12073683
1700736900000,2.583800,2.585000,2.582600,2.582600,7787,1700736959999,20121.258500,204,2922,7549.563500,0,12074419
1700736960000,2.582600,2.583900,2.576100,2.578200,58768,1700737019999,151510.283600,545,13299,34289.689100,0,12049321
1700737020000,2.578200,2.579500,2.577600,2.579500,14146,1700737079999,36472.318800,216,6257,16133.671900,0,12044293
1700737080000,2.579600,2.580500,2.579200,2.579800,13959,1700737139999,36010.130600,231,4787,12349.558900,0,12048135
1700737140000,2.579900,2.582300,2.578500,2.579300,33100,1700737199999,85408.162500,470,15405,39752.568900,0,12050823
1700737200000,2.579300,2.581200,2.577200,2.577700,18900,1700737259999,48739.541400,379,5319,13715.211100,0,12053366
1700737260000,2.577700,2.581000,2.576700,2.580300,9300,1700737319999,23975.093900,259,3126,8059.957700,0,12057796
1700737320000,2.580500,2.581900,2.579900,2.581100,13164,1700737379999,33978.260700,275,4299,11095.457800,0,12069412
1700737380000,2.581200,2.581400,2.577500,2.578700,17121,1700737439999,44169.365900,224,2294,5916.484900,0,12071843
1700737440000,2.578600,2.585000,2.578600,2.584800,22561,1700737499999,58254.382200,309,15232,39332.040900,0,12084724
1700737500000,2.584900,2.588900,2.583900,2.586800,38087,1700737559999,98533.470200,560,22283,57638.692700,0,12092634
1700737560000,2.586500,2.589400,2.586100,2.589400,17163,1700737619999,44413.557300,345,8843,22886.365400,0,12095554
1700737620000,2.589400,2.590100,2.583800,2.588300,31011,1700737679999,80240.851400,470,12980,33583.138900,0,12101002
1700737680000,2.588300,2.589800,2.587400,2.589500,6323,1700737739999,16368.171700,168,2485,6433.562600,0,12103285
1700737740000,2.589400,2.589900,2.586100,2.588600,7229,1700737799999,18713.068800,167,3040,7869.427000,0,12104286
1700737800000,2.588600,2.590200,2.584900,2.586400,21121,1700737859999,54645.214300,323,9485,24540.765400,0,12110528
1700737860000,2.586300,2.587100,2.584100,2.585300,13913,1700737919999,35969.450000,175,8421,21770.779200,0,12114471
1700737920000,2.585200,2.585600,2.582900,2.583700,6417,1700737979999,16580.854200,143,1274,3292.259200,0,12117651
1700737980000,2.583300,2.583600,2.574000,2.575000,23278,1700738039999,60010.942900,369,11060,28515.964900,0,12114678
1700738040000,2.574400,2.574800,2.566000,2.571500,83643,1700738099999,214963.160000,961,35560,91378.520000,0,12117580
1700738100000,2.571500,2.576600,2.570200,2.575800,39019,1700738159999,100389.655800,545,23512,60492.332700,0,12120865
1700738160000,2.576100,2.577600,2.568200,2.570300,32656,1700738219999,84058.450600,593,16658,42881.641700,0,12118773
1700738220000,2.570400,2.573500,2.566000,2.568300,34104,1700738279999,87641.449600,606,11372,29225.708600,0,12123204
1700738280000,2.568600,2.569300,2.564900,2.568800,51043,1700738339999,131029.734800,777,25054,64319.450400,0,12118741
1700738340000,2.568800,2.569500,2.563500,2.567500,61393,1700738399999,157529.606400,700,16354,41975.343800,0,12126495
1700738400000,2.567500,2.573900,2.567500,2.573500,38161,1700738459999,98112.805800,407,23403,60155.229700,0,12127388
1700738460000,2.573500,2.574000,2.570000,2.571900,18746,1700738519999,48214.280800,336,6381,16409.244100,0,12148821
1700738520000,2.571800,2.572600,2.549600,2.560700,190991,1700738579999,488402.310600,2188,82274,210384.575300,0,12134620
1700738580000,2.560700,2.568900,2.553000,2.555200,141617,1700738639999,362443.145000,1673,69412,177755.679100,0,12128712
1700738640000,2.555300,2.555300,2.546800,2.549400,168914,1700738699999,430585.883000,1459,65172,166139.581600,0,12147593
1700738700000,2.550000,2.557400,2.549600,2.556700,64822,1700738759999,165500.923700,768,26153,66772.359000,0,12158344
1700738760000,2.556400,2.564700,2.556300,2.564200,39931,1700738819999,102267.569000,549,22036,56434.828600,0,12169991
1700738820000,2.564300,2.564300,2.553800,2.555900,46811,1700738879999,119742.753300,735,17231,44070.001600,0,12174005
1700738880000,2.556100,2.561500,2.556100,2.559200,13453,1700738939999,34428.621800,311,7380,18883.597600,0,12175930
1700738940000,2.559300,2.565700,2.559100,2.564000,34079,1700738999999,87323.823400,510,18897,48421.499000,0,12185775
1700739000000,2.563400,2.573200,2.563400,2.573100,60367,1700739059999,155046.490400,939,41712,107132.034700,0,12189318
1700739060000,2.573000,2.575100,2.572300,2.574400,24866,1700739119999,64003.481900,421,15405,39653.238300,0,12191063
1700739120000,2.574600,2.583800,2.574100,2.583500,31273,1700739179999,80675.217400,503,25402,65536.211200,0,12207523
1700739180000,2.583500,2.592500,2.583100,2.592400,72501,1700739239999,187647.408100,749,42879,110986.961400,0,12222979
1700739240000,2.592400,2.595800,2.590400,2.594500,47282,1700739299999,122604.632300,628,21772,56457.228400,0,12227563
1700739300000,2.594300,2.595500,2.585600,2.588500,50164,1700739359999,129989.555000,608,10562,27359.660400,0,12226776
1700739360000,2.588500,2.590500,2.580100,2.582800,38225,1700739419999,98793.037600,650,10740,27771.470000,0,12225861
1700739420000,2.582800,2.587700,2.582800,2.584700,18458,1700739479999,47730.925900,352,7086,18323.972000,0,12220376
1700739480000,2.584700,2.584900,2.580000,2.583600,29908,1700739539999,77248.830500,426,15441,39897.713200,0,12219924
1700739540000,2.583500,2.584600,2.582100,2.582500,10470,1700739599999,27050.963500,213,6474,16727.780400,0,12220342
1700739600000,2.582700,2.583900,2.578300,2.581700,16658,1700739659999,42998.909400,312,6243,16114.470500,0,12225014
1700739660000,2.581700,2.582400,2.579300,2.580400,13035,1700739719999,33641.801800,150,3163,8162.668600,0,12226413
1700739720000,2.580500,2.580900,2.576200,2.576200,9738,1700739779999,25113.782700,193,3648,9409.684300,0,12224009
1700739780000,2.576100,2.577100,2.574600,2.574600,14512,1700739839999,37377.781600,216,10031,25836.197300,0,12218828
1700739840000,2.574600,2.574600,2.572100,2.572900,9886,1700739899999,25440.784600,207,1818,4678.474400,0,12218116
1700739900000,2.573000,2.575900,2.572400,2.572800,17542,1700739959999,45152.447700,353,13265,34142.252900,0,12213785
1700739960000,2.572800,2.576300,2.571500,2.576300,13476,1700740019999,34682.583700,271,8146,20971.100700,0,12213919
1700740020000,2.576100,2.576300,2.569000,2.570800,8612,1700740079999,22151.128400,286,2933,7542.217200,0,12199427
1700740080000,2.571000,2.571000,2.564700,2.568200,27166,1700740139999,69710.806900,358,5327,13670.970900,0,12200207
1700740140000,2.568300,2.570900,2.567400,2.569100,7461,1700740199999,19170.027600,211,4025,10342.725500,0,12205141
1700740200000,2.569000,2.569100,2.563000,2.564200,31751,1700740259999,81444.743100,467,7502,19245.638300,0,12198657
