Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.1179300,0.1180000,0.1178800,0.1179800,61078,1700733359999,7202.8594400,58,51745,6102.4778900,0,15172845
1700733360000,0.1180000,0.1180700,0.1180000,0.1180000,37549,1700733419999,4431.8232700,62,23729,2800.8187100,0,15165019
1700733420000,0.1180100,0.1180200,0.1179600,0.1179600,11594,1700733479999,1367.9646000,21,0,0,0,15172692
1700733480000,0.1180200,0.1180300,0.1179600,0.1179600,11134,1700733539999,1313.7934900,22,3262,384.9819600,0,15169174
1700733540000,0.1180000,0.1180700,0.1179900,0.1180700,5616,1700733599999,662.8483100,34,4665,550.6142900,0,15168074
1700733600000,0.1180400,0.1180600,0.1180100,0.1180300,29485,1700733659999,3480.4916700,81,5227,617.0330500,0,15192015
1700733660000,0.1180200,0.1180200,0.1179200,0.1179200,32477,1700733719999,3832.2647900,42,211,24.8846300,0,15198277
1700733720000,0.1179200,0.1179400,0.1178800,0.1179400,42663,1700733779999,5030.6697900,68,28552,3366.8371800,0,15200559
1700733780000,0.1179200,0.1179900,0.1179100,0.1179900,12964,1700733839999,1529.1752500,28,12647,1491.7876300,0,15197965
1700733840000,0.1179800,0.1179900,0.1179300,0.1179500,8663,1700733899999,1021.8559000,18,216,25.4844000,0,15201769
1700733900000,0.1179600,0.1179700,0.1179000,0.1179000,9251,1700733959999,1091.1449200,47,1731,204.2027300,0,15198542
1700733960000,0.1179400,0.1179400,0.1179000,0.1179000,1445,1700734019999,170.4048200,12,0,0,0,15195679
1700734020000,0.1179200,0.1179500,0.1178400,0.1179100,20573,1700734079999,2425.6573400,56,11516,1357.8203300,0,15197467
1700734080000,0.1179100,0.1179300,0.1178100,0.1178100,8667,1700734139999,1021.6382200,27,2903,342.3231600,0,15195919
1700734140000,0.1178100,0.1178100,0.1177500,0.1177500,15108,1700734199999,1779.7249700,13,2074,244.3379400,0,15197042
1700734200000,0.1177800,0.1178000,0.1177800,0.1178000,693,1700734259999,81.6279400,8,693,81.6279400,0,15194961
1700734260000,0.1178000,0.1178400,0.1178000,0.1178100,4838,1700734319999,569.9905800,16,4245,500.1292500,0,15200446
1700734320000,0.1178100,0.1178400,0.1177900,0.1178200,6106,1700734379999,719.2462800,14,455,53.6087400,0,15200223
1700734380000,0.1178300,0.1178300,0.1178100,0.1178100,317,1700734439999,37.3487100,3,147,17.3210100,0,15203403
1700734440000,0.1178200,0.1178200,0.1178200,0.1178200,6823,1700734499999,803.8858600,5,0,0,0,15256719
1700734500000,0.1178200,0.1178200,0.1177500,0.1177700,71657,1700734559999,8442.1456800,45,0,0,0,15257256
1700734560000,0.1177200,0.1177200,0.1176100,0.1176100,28051,1700734619999,3301.1122900,17,0,0,0,15262354
1700734620000,0.1176200,0.1176500,0.1176200,0.1176300,17062,1700734679999,2006.9101300,18,15654,1841.2771300,0,15254394
1700734680000,0.1176300,0.1176800,0.1176200,0.1176400,15368,1700734739999,1808.0149100,39,6160,724.7143800,0,15250973
1700734740000,0.1176300,0.1176500,0.1176200,0.1176500,9113,1700734799999,1071.9539600,15,2256,265.3965200,0,15250498
1700734800000,0.1176400,0.1176500,0.1175500,0.1175700,33721,1700734859999,3965.9421000,64,4308,506.5773400,0,15258352
1700734860000,0.1175600,0.1176100,0.1175400,0.1175400,4951,1700734919999,582.1154300,32,1402,164.8659000,0,15255228
1700734920000,0.1175800,0.1176300,0.1175800,0.1176300,1497,1700734979999,176.0654100,15,1267,149.0146100,0,15254953
1700734980000,0.1176400,0.1176900,0.1176400,0.1176700,2885,1700735039999,339.4771500,21,2220,261.2399000,0,15255212
1700735040000,0.1176500,0.1176500,0.1175700,0.1175700,11524,1700735099999,1355.1257000,24,0,0,0,15259061
1700735100000,0.1175700,0.1175700,0.1174800,0.1174800,5547,1700735159999,651.8673400,21,0,0,0,15225953
1700735160000,0.1174700,0.1174900,0.1174200,0.1174900,64597,1700735219999,7586.3317000,32,62997,7398.4459100,0,15225434
1700735220000,0.1174900,0.1175600,0.1174900,0.1175300,3030,1700735279999,356.0888200,21,2860,336.1087200,0,15226161
1700735280000,0.1175300,0.1175300,0.1173800,0.1173800,24422,1700735339999,2867.6872700,55,64,7.5155200,0,15236876
1700735340000,0.1173600,0.1174300,0.1173600,0.1174000,5548,1700735399999,651.2587300,15,2608,306.1828500,0,15235250
1700735400000,0.1174100,0.1174500,0.1174000,0.1174500,5471,1700735459999,642.3737700,20,5301,622.4157700,0,15221144
1700735460000,0.1174400,0.1175100,0.1174400,0.1175100,21130,1700735519999,2482.4109000,24,21130,2482.4109000,0,15216845
1700735520000,0.1175300,0.1175400,0.1174900,0.1175400,5284,1700735579999,621.0433300,20,3895,457.8005600,0,15220859
1700735580000,0.1175200,0.1175400,0.1174500,0.1174500,6979,1700735639999,820.0363500,31,351,41.2545600,0,15221291
1700735640000,0.1174400,0.1174400,0.1173400,0.1173600,18507,1700735699999,2172.6835700,39,3374,395.9862400,0,15221389
1700735700000,0.1173800,0.1174100,0.1172300,0.1172300,35004,1700735759999,4105.4634900,61,3073,360.5736600,0,15219339
1700735760000,0.1172300,0.1172300,0.1170500,0.1171200,24176,1700735819999,2832.1049800,90,11680,1368.3668800,0,15220935
1700735820000,0.1171700,0.1172500,0.1171200,0.1172000,14185,1700735879999,1661.8371900,49,985,115.4562600,0,15217336
1700735880000,0.1172000,0.1172500,0.1171600,0.1172000,9457,1700735939999,1108.4389900,32,9205,1078.9116000,0,15215097
1700735940000,0.1171900,0.1171900,0.1171200,0.1171500,29914,1700735999999,3504.4175300,33,17037,1995.8845500,0,15200558
1700736000000,0.1171700,0.1172600,0.1171400,0.1172600,14849,1700736059999,1740.1406800,31,10797,1265.4534700,0,15192402
1700736060000,0.1172500,0.1173000,0.1172500,0.1173000,14945,1700736119999,1752.6921600,28,9143,1072.2784500,0,15197501
1700736120000,0.1173000,0.1173000,0.1172500,0.1172500,93470,1700736179999,10959.5606800,52,382,44.8045500,0,15240867
1700736180000,0.1171700,0.1171700,0.1170200,0.1170900,8155,1700736239999,954.8760600,49,134,15.6880800,0,15239935
1700736240000,0.1171100,0.1171500,0.1171100,0.1171300,5494,1700736299999,643.5290300,25,3886,455.1763700,0,15236575
1700736300000,0.1171300,0.1171300,0.1170600,0.1170800,13433,1700736359999,1572.8197400,42,3963,464.0176000,0,15234863
1700736360000,0.1170800,0.1170800,0.1170500,0.1170700,2243,1700736419999,262.5783900,14,0,0,0,15233997
1700736420000,0.1170700,0.1170700,0.1170300,0.1170400,4322,1700736479999,505.8849400,23,1050,122.9053200,0,15234170
1700736480000,0.1170400,0.1172000,0.1170400,0.1170700,40301,1700736539999,4719.7992600,82,35737,4185.5773300,0,15245659
1700736540000,0.1170900,0.1171600,0.1170900,0.1171100,9715,1700736599999,1137.6488000,31,9472,1109.1952100,0,15245560
1700736600000,0.1171000,0.1171000,0.1170800,0.1170800,206,1700736659999,24.1209100,3,0,0,0,15245560
