Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,9.050,9.060,9.024,9.059,61160.73,1700733359999,552888.45440,1288,20498.75,185410.46149,0,5031198.82
1700733360000,9.058,9.064,9.052,9.054,12723.18,1700733419999,115238.05484,457,5433.26,49218.05811,0,5030561.10
1700733420000,9.054,9.066,9.052,9.058,11032.83,1700733479999,99962.67719,318,5459.97,49466.34645,0,5027256.28
1700733480000,9.059,9.065,9.059,9.063,7982.54,1700733539999,72345.52994,214,3049.58,27637.86838,0,5027129.02
1700733540000,9.063,9.069,9.061,9.069,8495.63,1700733599999,77019.19449,301,6224.37,56429.18736,0,5025614.62
1700733600000,9.069,9.069,9.058,9.059,13695.89,1700733659999,124118.48541,396,5373.41,48690.25603,0,5019906.93
1700733660000,9.060,9.060,9.038,9.044,19845.44,1700733719999,179534.59333,605,5700.78,51561.93100,0,5019519.68
1700733720000,9.043,9.048,9.038,9.045,6824.61,1700733779999,61722.68575,331,3540.39,32020.81775,0,5020304.59
1700733780000,9.044,9.051,9.038,9.046,10936.83,1700733839999,98906.10108,378,5235.93,47358.31926,0,5023034.12
1700733840000,9.046,9.046,9.037,9.042,10893.08,1700733899999,98490.83008,358,4657.16,42113.72597,0,5021640.90
1700733900000,9.041,9.043,9.034,9.036,8184.24,1700733959999,73971.56870,415,3624.53,32763.09727,0,5018072.81
1700733960000,9.036,9.038,9.027,9.033,11258.04,1700734019999,101677.32345,449,3498.26,31599.59499,0,5018268.55
1700734020000,9.033,9.053,9.032,9.052,6745.32,1700734079999,60997.18468,244,4295.67,38849.87529,0,5017780.23
1700734080000,9.053,9.057,9.041,9.043,3967.47,1700734139999,35907.62606,187,886.69,8023.55336,0,5018022.20
1700734140000,9.044,9.049,9.041,9.045,3972.55,1700734199999,35931.24562,157,2184.80,19761.47096,0,5019529.10
1700734200000,9.046,9.053,9.043,9.043,6828.30,1700734259999,61791.29837,207,1775.84,16068.88255,0,5018590.05
1700734260000,9.044,9.048,9.044,9.046,2581.47,1700734319999,23351.95914,144,1330.55,12035.89150,0,5018649.75
1700734320000,9.046,9.055,9.042,9.055,4652.90,1700734379999,42099.68444,201,2230.97,20188.08739,0,5020102.97
1700734380000,9.056,9.058,9.049,9.054,4116.76,1700734439999,37274.34670,184,2755.62,24951.45117,0,5020860.63
1700734440000,9.054,9.059,9.054,9.056,5474.41,1700734499999,49581.89867,177,3820.94,34607.52993,0,5018743.15
1700734500000,9.056,9.056,9.037,9.037,4798.46,1700734559999,43407.36211,273,1062.86,9613.02569,0,5016975.62
1700734560000,9.037,9.037,9.023,9.029,10931.82,1700734619999,98683.16230,433,5011.83,45239.54590,0,5015706.73
1700734620000,9.029,9.035,9.025,9.025,9028.75,1700734679999,81517.69447,265,3027.25,27333.15989,0,5017069.88
1700734680000,9.026,9.036,9.026,9.033,5457.05,1700734739999,49281.14090,210,1694.44,15304.71750,0,5018163.76
1700734740000,9.033,9.036,9.025,9.026,4556.55,1700734799999,41143.10653,168,746.18,6740.17002,0,5016323.23
1700734800000,9.027,9.029,9.017,9.019,4690.52,1700734859999,42318.83493,295,848.04,7653.33809,0,5010089.85
