Symbol,Side,Order Type,Time,Quantity,Price
CHZUSDT,SELL,LIMIT,1701067320297,8217,0.07337
CHZUSDT,SELL,LIMIT,1701068288074,50758,0.07275
CHZUSDT,SELL,LIMIT,1701068996811,133,0.07306
CHZUSDT,SELL,LIMIT,1701069801625,692,0.07250
CHZUSDT,SELL,LIMIT,1701069809765,10821,0.07248
CHZUSDT,SELL,LIMIT,1701069811332,2104,0.07246
CHZUSDT,SELL,LIMIT,1701069855806,175,0.07239
CHZUSDT,SELL,LIMIT,1701069859804,30447,0.07237
CHZUSDT,SELL,LIMIT,1701069882398,2813,0.07235
CHZUSDT,SELL,LIMIT,1701070173559,17931,0.07211
CHZUSDT,SELL,LIMIT,1701082692222,2818,0.07216
CHZUSDT,SELL,LIMIT,1701082697818,6498,0.07215
CHZUSDT,SELL,LIMIT,1701082706801,13859,0.07210
CHZUSDT,SELL,LIMIT,1701083416349,13116,0.07209
CHZUSDT,SELL,LIMIT,1701084930509,1321,0.07193
CHZUSDT,SELL,LIMIT,1701084931980,392,0.07191
CHZUSDT,SELL,LIMIT,1701092529303,3643,0.07182
CHZUSDT,SELL,LIMIT,1701092755078,595,0.07178
CHZUSDT,SELL,LIMIT,1701093077063,555,0.07173
CHZUSDT,SELL,LIMIT,1701093129365,1500,0.07163
CHZUSDT,SELL,LIMIT,1701095563761,15688,0.07150
CHZUSDT,SELL,LIMIT,1701095590141,8506,0.07145
CHZUSDT,SELL,LIMIT,1701095591485,19974,0.07148
CHZUSDT,SELL,LIMIT,1701095597101,4988,0.07143
CHZUSDT,SELL,LIMIT,1701095613235,75,0.07142
CHZUSDT,SELL,LIMIT,1701096473302,2000,0.07137
CHZUSDT,SELL,LIMIT,1701096676330,4785,0.07131
CHZUSDT,SELL,LIMIT,1701097093466,8021,0.07111
CHZUSDT,SELL,LIMIT,1701100222018,55861,0.07138
CHZUSDT,SELL,LIMIT,1701100574531,41611,0.07127
CHZUSDT,SELL,LIMIT,1701100610127,69,0.07142
CHZUSDT,SELL,LIMIT,1701102228170,40360,0.07169
CHZUSDT,SELL,LIMIT,1701114237360,9513,0.07121
CHZUSDT,SELL,LIMIT,1701114352849,103,0.07103
CHZUSDT,SELL,LIMIT,1701114356229,1339,0.07101
CHZUSDT,SELL,LIMIT,1701114463769,284,0.07096
CHZUSDT,SELL,LIMIT,1701114476068,1184,0.07089
CHZUSDT,SELL,LIMIT,1701114492506,3002,0.07086
CHZUSDT,SELL,LIMIT,1701114525481,243,0.07080
CHZUSDT,SELL,LIMIT,1701114530301,2582,0.07079
CHZUSDT,SELL,LIMIT,1701138515299,5266,0.07210
CHZUSDT,SELL,LIMIT,1701148006462,691,0.07100
CHZUSDT,SELL,LIMIT,1701148009079,926,0.07096
CHZUSDT,SELL,LIMIT,1701148246896,3236,0.07081
CHZUSDT,SELL,LIMIT,1701148937520,25398,0.07072
CHZUSDT,SELL,LIMIT,1701149002775,3061,0.07070
CHZUSDT,SELL,LIMIT,1701149007451,2613,0.07067
CHZUSDT,SELL,LIMIT,1701149113868,11102,0.07061
CHZUSDT,SELL,LIMIT,1701149133827,756,0.07058
CHZUSDT,SELL,LIMIT,1701149820453,2017,0.07061
CHZUSDT,SELL,LIMIT,1701149846876,247,0.07055
CHZUSDT,SELL,LIMIT,1701149852415,481,0.07053
CHZUSDT,SELL,LIMIT,1701149854261,3802,0.07047
CHZUSDT,SELL,LIMIT,1701149883491,760,0.07043
CHZUSDT,SELL,LIMIT,1701156559052,13827,0.07088
CHZUSDT,BUY,LIMIT,1701167790601,6687,0.07360
