Symbol,Side,Order Type,Time,Quantity,Price
KASUSDT,BUY,LIMIT,1700846292092,908,0.1415592
KASUSDT,BUY,LIMIT,1700846419668,17435,0.1421933
KASUSDT,SELL,LIMIT,1700847399069,2000,0.1376370
KASUSDT,SELL,LIMIT,1700847496974,2609,0.1373375
KASUSDT,SELL,LIMIT,1700847914041,25357,0.1375977
KASUSDT,SELL,LIMIT,1700848012373,2976,0.1369067
KASUSDT,BUY,LIMIT,1700850051640,2001,0.1421383
KASUSDT,BUY,LIMIT,1700851200326,14309,0.1428323
KASUSDT,BUY,LIMIT,1700851219372,122,0.1429506
KASUSDT,BUY,LIMIT,1700851228234,4375,0.1429955
KASUSDT,SELL,LIMIT,1700852627998,78,0.1374414
KASUSDT,SELL,LIMIT,1700852815263,549,0.1373066
KASUSDT,SELL,LIMIT,1700853001169,2697,0.1372268
KASUSDT,BUY,LIMIT,1700854053146,48,0.1425720
KASUSDT,BUY,LIMIT,1700854916918,17582,0.1438446
KASUSDT,BUY,LIMIT,1700854983206,920,0.1440285
KASUSDT,SELL,LIMIT,1700855245986,31697,0.1389403
KASUSDT,SELL,LIMIT,1700856064185,99,0.1372152
KASUSDT,SELL,LIMIT,1700856073225,262,0.1370804
KASUSDT,SELL,LIMIT,1700856896474,18929,0.1368960
KASUSDT,SELL,LIMIT,1700857629595,229,0.1364412
KASUSDT,SELL,LIMIT,1700859044066,2807,0.1369888
KASUSDT,BUY,LIMIT,1700859783828,254,0.1418609
KASUSDT,BUY,LIMIT,1700860609492,338,0.1428926
KASUSDT,BUY,LIMIT,1700862584484,1365,0.1429256
KASUSDT,SELL,LIMIT,1700862926024,1140,0.1382533
KASUSDT,SELL,LIMIT,1700862990168,1668,0.1377953
KASUSDT,SELL,LIMIT,1700862995662,1300,0.1377499
KASUSDT,SELL,LIMIT,1700863961139,777,0.1366670
KASUSDT,SELL,LIMIT,1700865548271,19006,0.1361566
KASUSDT,SELL,LIMIT,1700865575242,675,0.1359903
KASUSDT,SELL,LIMIT,1700865583584,36054,0.1360127
KASUSDT,SELL,LIMIT,1700865599885,338,0.1358551
KASUSDT,SELL,LIMIT,1700866968353,7306,0.1364445
KASUSDT,SELL,LIMIT,1700867204466,1944,0.1356543
KASUSDT,BUY,LIMIT,1700871614199,4367,0.1434575
KASUSDT,SELL,LIMIT,1700876847208,1538,0.1383529
KASUSDT,SELL,LIMIT,1700876889132,1140,0.1380809
KASUSDT,BUY,LIMIT,1700877272222,43,0.1417366
KASUSDT,SELL,LIMIT,1700878679887,7121,0.1376300
KASUSDT,SELL,LIMIT,1700879844719,301,0.1370404
KASUSDT,SELL,LIMIT,1700880208686,5210,0.1366910
KASUSDT,BUY,LIMIT,1700880824240,113,0.1413788
