Symbol,Side,Order Type,Time,Quantity,Price
SUSHIUSDT,BUY,LIMIT,1700845608109,892,1.2196
SUSHIUSDT,BUY,LIMIT,1700845683204,1280,1.2333
SUSHIUSDT,BUY,LIMIT,1700845714004,41,1.2376
SUSHIUSDT,BUY,LIMIT,1700845783311,351,1.2431
SUSHIUSDT,SELL,LIMIT,1700847741571,13,1.1926
SUSHIUSDT,BUY,LIMIT,1700848633206,34,1.2316
SUSHIUSDT,SELL,LIMIT,1700849721599,16,1.1934
SUSHIUSDT,SELL,LIMIT,1700850824153,264,1.1871
SUSHIUSDT,SELL,LIMIT,1700850832180,18,1.1867
SUSHIUSDT,SELL,LIMIT,1700850844695,16,1.1860
SUSHIUSDT,SELL,LIMIT,1700851128858,387,1.1835
SUSHIUSDT,SELL,LIMIT,1700851180357,405,1.1825
SUSHIUSDT,SELL,LIMIT,1700852976096,1009,1.1774
SUSHIUSDT,SELL,LIMIT,1700853470905,200,1.1788
SUSHIUSDT,SELL,LIMIT,1700854332269,440,1.1754
SUSHIUSDT,SELL,LIMIT,1700855034051,2909,1.1721
SUSHIUSDT,SELL,LIMIT,1700855035206,492,1.1719
SUSHIUSDT,SELL,LIMIT,1700856447605,41,1.1696
SUSHIUSDT,SELL,LIMIT,1700856476207,76,1.1685
SUSHIUSDT,SELL,LIMIT,1700856990037,8,1.4212
SUSHIUSDT,BUY,LIMIT,1700859060175,345,1.2126
SUSHIUSDT,BUY,LIMIT,1700859514987,158,1.2138
SUSHIUSDT,BUY,LIMIT,1700861323619,5,1.2145
SUSHIUSDT,SELL,LIMIT,1700863006749,88,1.1726
SUSHIUSDT,SELL,LIMIT,1700863856232,157,1.1700
SUSHIUSDT,SELL,LIMIT,1700863950641,5,1.1651
SUSHIUSDT,SELL,LIMIT,1700863958202,5,1.1649
SUSHIUSDT,SELL,LIMIT,1700863960278,802,1.1632
SUSHIUSDT,SELL,LIMIT,1700863961854,147,1.1627
SUSHIUSDT,SELL,LIMIT,1700863963054,46,1.1611
SUSHIUSDT,SELL,LIMIT,1700863964336,3500,1.1605
SUSHIUSDT,BUY,LIMIT,1700866354347,52,1.2094
SUSHIUSDT,SELL,LIMIT,1700866639151,117,1.1750
SUSHIUSDT,SELL,LIMIT,1700866862280,104,1.1717
SUSHIUSDT,SELL,LIMIT,1700867071073,45,1.1666
SUSHIUSDT,SELL,LIMIT,1700867184124,315,1.1631
SUSHIUSDT,BUY,LIMIT,1700868072702,406,1.2040
SUSHIUSDT,BUY,LIMIT,1700869239189,1053,1.2173
SUSHIUSDT,BUY,LIMIT,1700869498318,182,1.2200
SUSHIUSDT,BUY,LIMIT,1700870007146,2829,1.2233
SUSHIUSDT,SELL,LIMIT,1700870645864,2076,1.1744
SUSHIUSDT,BUY,LIMIT,1700871039415,542,1.2172
SUSHIUSDT,SELL,LIMIT,1700873507678,527,1.1809
SUSHIUSDT,SELL,LIMIT,1700873557474,1692,1.1806
SUSHIUSDT,BUY,LIMIT,1700875610251,881,1.2265
