Symbol,Side,Order Type,Time,Quantity,Price
DYDXUSDT,BUY,LIMIT,1700846220764,16.0,3.652
DYDXUSDT,BUY,LIMIT,1700846249392,140.9,3.667
DYDXUSDT,BUY,LIMIT,1700846251659,43.6,3.669
DYDXUSDT,SELL,LIMIT,1700848524104,113.5,3.558
DYDXUSDT,SELL,LIMIT,1700848927977,358.6,3.554
DYDXUSDT,SELL,LIMIT,1700849373358,77.2,3.578
DYDXUSDT,SELL,LIMIT,1700852932260,1482.4,3.574
DYDXUSDT,SELL,LIMIT,1700852938373,97.1,3.553
DYDXUSDT,SELL,LIMIT,1700853320008,151.0,3.538
DYDXUSDT,SELL,LIMIT,1700853334763,35.3,3.536
DYDXUSDT,SELL,LIMIT,1700853413929,66.2,3.533
DYDXUSDT,SELL,LIMIT,1700853416008,46.9,3.533
DYDXUSDT,SELL,LIMIT,1700853876250,300.0,3.529
DYDXUSDT,SELL,LIMIT,1700853877437,11.5,3.529
DYDXUSDT,SELL,LIMIT,1700853899555,2.8,3.526
DYDXUSDT,BUY,LIMIT,1700854753285,225.3,3.646
DYDXUSDT,BUY,LIMIT,1700854910103,42.0,3.652
DYDXUSDT,SELL,LIMIT,1700858737234,133.5,3.563
DYDXUSDT,BUY,LIMIT,1700859044353,143.0,3.651
DYDXUSDT,BUY,LIMIT,1700860301111,713.4,3.690
DYDXUSDT,BUY,LIMIT,1700860612620,1130.9,3.690
DYDXUSDT,BUY,LIMIT,1700862047775,1.4,3.694
DYDXUSDT,BUY,LIMIT,1700862590991,92.5,3.700
DYDXUSDT,SELL,LIMIT,1700863857765,0.2,3.577
DYDXUSDT,SELL,LIMIT,1700863941047,370.5,3.571
DYDXUSDT,SELL,LIMIT,1700863944584,16.9,3.570
DYDXUSDT,SELL,LIMIT,1700863949259,124.6,3.569
DYDXUSDT,SELL,LIMIT,1700863960122,40.0,3.559
DYDXUSDT,SELL,LIMIT,1700864684246,343.5,3.553
DYDXUSDT,BUY,LIMIT,1700865749002,35.7,3.657
DYDXUSDT,BUY,LIMIT,1700866353872,3.6,3.594
DYDXUSDT,SELL,LIMIT,1700866702824,53.2,3.543
DYDXUSDT,SELL,LIMIT,1700866971364,13.9,3.548
DYDXUSDT,SELL,LIMIT,1700867185520,27.1,3.541
DYDXUSDT,SELL,LIMIT,1700867209174,130.6,3.541
DYDXUSDT,SELL,LIMIT,1700867287062,252.8,3.539
DYDXUSDT,SELL,LIMIT,1700867289445,137.9,3.537
DYDXUSDT,SELL,LIMIT,1700867290701,1.6,3.532
DYDXUSDT,SELL,LIMIT,1700867305739,16.6,3.530
DYDXUSDT,SELL,LIMIT,1700867354129,151.9,3.524
DYDXUSDT,SELL,LIMIT,1700867357366,52.4,3.523
DYDXUSDT,SELL,LIMIT,1700867373270,140.0,3.523
DYDXUSDT,SELL,LIMIT,1700867376503,5.0,3.522
DYDXUSDT,SELL,LIMIT,1700868716934,257.7,3.518
DYDXUSDT,SELL,LIMIT,1700868720040,46.9,3.518
DYDXUSDT,SELL,LIMIT,1700868741309,198.4,3.515
DYDXUSDT,SELL,LIMIT,1700868742816,538.2,3.513
DYDXUSDT,SELL,LIMIT,1700868744406,867.0,3.511
DYDXUSDT,SELL,LIMIT,1700868747511,558.8,3.508
DYDXUSDT,SELL,LIMIT,1700868750718,1.4,3.507
DYDXUSDT,BUY,LIMIT,1700869573924,248.8,3.625
DYDXUSDT,SELL,LIMIT,1700870645909,290.2,3.537
DYDXUSDT,SELL,LIMIT,1700870648158,44.9,3.593
DYDXUSDT,BUY,LIMIT,1700871411234,74.4,3.624
DYDXUSDT,BUY,LIMIT,1700871932666,379.2,3.680
DYDXUSDT,BUY,LIMIT,1700872126276,303.6,3.693
DYDXUSDT,BUY,LIMIT,1700872143274,113.2,3.698
DYDXUSDT,BUY,LIMIT,1700874552042,10.0,3.694
DYDXUSDT,BUY,LIMIT,1700874569618,428.0,3.699
DYDXUSDT,BUY,LIMIT,1700874573327,432.7,3.701
DYDXUSDT,BUY,LIMIT,1700874577234,112.0,3.702
DYDXUSDT,BUY,LIMIT,1700874788098,30.3,3.702
DYDXUSDT,BUY,LIMIT,1700874819732,949.7,3.707
DYDXUSDT,BUY,LIMIT,1700874962030,14.9,3.709
DYDXUSDT,BUY,LIMIT,1700874963196,86.6,3.709
DYDXUSDT,BUY,LIMIT,1700875083907,1378.5,3.716
DYDXUSDT,BUY,LIMIT,1700875096061,59.8,3.722
DYDXUSDT,BUY,LIMIT,1700875893081,7.0,3.725
DYDXUSDT,BUY,LIMIT,1700875896077,113.2,3.726
DYDXUSDT,BUY,LIMIT,1700876102910,1.6,3.736
DYDXUSDT,BUY,LIMIT,1700876274058,1388.1,3.738
DYDXUSDT,BUY,LIMIT,1700876292566,146.5,3.742
DYDXUSDT,BUY,LIMIT,1700876321072,86.9,3.744
DYDXUSDT,BUY,LIMIT,1700876342254,219.0,3.750
DYDXUSDT,BUY,LIMIT,1700876353124,17.6,3.751
DYDXUSDT,BUY,LIMIT,1700876362351,711.3,3.753
DYDXUSDT,BUY,LIMIT,1700876369928,2.8,3.754
DYDXUSDT,BUY,LIMIT,1700876371473,257.3,3.755
DYDXUSDT,BUY,LIMIT,1700876372600,300.1,3.758
DYDXUSDT,BUY,LIMIT,1700876455039,5.3,3.763
DYDXUSDT,BUY,LIMIT,1700876572952,34.7,3.757
