Symbol,Side,Order Type,Time,Quantity,Price
ETHWUSDT,SELL,LIMIT,1701918285212,350,2.679076
ETHWUSDT,SELL,LIMIT,1701918374450,122,2.675088
ETHWUSDT,SELL,LIMIT,1701918544074,924,2.658516
ETHWUSDT,SELL,LIMIT,1701924557489,47,2.703648
ETHWUSDT,SELL,LIMIT,1701933698246,86,2.647342
ETHWUSDT,SELL,LIMIT,1701937414131,354,2.649887
ETHWUSDT,SELL,LIMIT,1701937749918,436,2.646577
ETHWUSDT,SELL,LIMIT,1701937839006,94,2.637425
ETHWUSDT,SELL,LIMIT,1701939527963,1832,2.622008
ETHWUSDT,SELL,LIMIT,1701939549370,457,2.620951
ETHWUSDT,SELL,LIMIT,1701939551923,27,2.620931
ETHWUSDT,SELL,LIMIT,1701939996437,3207,2.603247
ETHWUSDT,SELL,LIMIT,1701939999792,35,2.613479
ETHWUSDT,SELL,LIMIT,1701940015990,566,2.607281
ETHWUSDT,SELL,LIMIT,1701940027207,139,2.603785
ETHWUSDT,SELL,LIMIT,1701940422332,14,2.602268
ETHWUSDT,SELL,LIMIT,1701940475019,50,2.599579
ETHWUSDT,SELL,LIMIT,1701940489966,2,2.598655
ETHWUSDT,SELL,LIMIT,1701940522344,471,2.597531
ETHWUSDT,SELL,LIMIT,1701940535421,50,2.589969
ETHWUSDT,SELL,LIMIT,1701940542748,6362,2.570723
ETHWUSDT,SELL,LIMIT,1701940545192,2028,2.585600
ETHWUSDT,SELL,LIMIT,1701940547649,485,2.586804
ETHWUSDT,SELL,LIMIT,1701940561570,486,2.585857
ETHWUSDT,SELL,LIMIT,1701940563434,1679,2.582483
ETHWUSDT,SELL,LIMIT,1701940564957,431,2.581536
ETHWUSDT,SELL,LIMIT,1701940989482,2,2.574889
ETHWUSDT,SELL,LIMIT,1701941064465,22,2.569129
ETHWUSDT,SELL,LIMIT,1701941066438,437,2.567002
ETHWUSDT,SELL,LIMIT,1701941154306,68,2.565005
ETHWUSDT,SELL,LIMIT,1701941155338,6,2.561058
ETHWUSDT,SELL,LIMIT,1701941156350,368,2.561863
ETHWUSDT,SELL,LIMIT,1701941177142,248,2.557452
ETHWUSDT,SELL,LIMIT,1701941187468,1047,2.555892
ETHWUSDT,SELL,LIMIT,1701941188694,35,2.553522
ETHWUSDT,SELL,LIMIT,1701941189941,13,2.552714
ETHWUSDT,SELL,LIMIT,1701941193587,1095,2.549501
ETHWUSDT,SELL,LIMIT,1701941236436,87,2.550160
ETHWUSDT,SELL,LIMIT,1701941240511,23,2.549175
ETHWUSDT,SELL,LIMIT,1701941245664,295,2.547338
ETHWUSDT,SELL,LIMIT,1701941247114,79,2.546416
ETHWUSDT,SELL,LIMIT,1701944557208,114,2.596855
ETHWUSDT,BUY,LIMIT,1701951890375,202,2.717449
ETHWUSDT,BUY,LIMIT,1701952071267,84,2.725619
ETHWUSDT,BUY,LIMIT,1701953976591,1,2.739992
ETHWUSDT,BUY,LIMIT,1701959502332,1,2.733395
ETHWUSDT,SELL,LIMIT,1701962686690,1,2.682347
ETHWUSDT,BUY,LIMIT,1701962777305,165,2.787504
ETHWUSDT,BUY,LIMIT,1701963346492,581,2.827688
ETHWUSDT,BUY,LIMIT,1701963486195,40,2.834386
ETHWUSDT,BUY,LIMIT,1701963511734,21,2.841334
ETHWUSDT,BUY,LIMIT,1701963577793,37,2.902697
ETHWUSDT,SELL,LIMIT,1701963954477,10,2.750613
ETHWUSDT,BUY,LIMIT,1701964932931,7,2.928723
ETHWUSDT,BUY,LIMIT,1701964963216,171,2.964704
ETHWUSDT,BUY,LIMIT,1701964965406,86,2.969712
ETHWUSDT,BUY,LIMIT,1701965072040,67,3.015907
ETHWUSDT,BUY,LIMIT,1701965191218,5,2.982679
ETHWUSDT,SELL,LIMIT,1701965417170,119,2.930879
ETHWUSDT,BUY,LIMIT,1701965549154,54,3.097537
ETHWUSDT,SELL,LIMIT,1701965588135,8,2.972241
ETHWUSDT,SELL,LIMIT,1701965666751,364,2.940137
ETHWUSDT,SELL,LIMIT,1701965672287,9,2.937287
ETHWUSDT,SELL,LIMIT,1701965722989,835,2.903846
ETHWUSDT,SELL,LIMIT,1701965728204,1055,2.885200
ETHWUSDT,SELL,LIMIT,1701965730323,121,2.876873
ETHWUSDT,SELL,LIMIT,1701966755078,25,2.835700
ETHWUSDT,SELL,LIMIT,1701966756240,15,2.830398
ETHWUSDT,SELL,LIMIT,1701966761460,1725,2.817234
ETHWUSDT,SELL,LIMIT,1701966943499,59,2.884257
ETHWUSDT,SELL,LIMIT,1701967684399,165,2.854174
ETHWUSDT,SELL,LIMIT,1701968218160,32,2.848586
ETHWUSDT,SELL,LIMIT,1701968248803,484,2.819047
ETHWUSDT,SELL,LIMIT,1701968467632,104,2.814432
ETHWUSDT,SELL,LIMIT,1701968673475,84,2.794078
ETHWUSDT,SELL,LIMIT,1701968675364,16,2.782783
ETHWUSDT,SELL,LIMIT,1701969139833,379,2.776955
ETHWUSDT,SELL,LIMIT,1701969147954,61,2.770977
ETHWUSDT,SELL,LIMIT,1701969270332,24,2.763042
ETHWUSDT,BUY,LIMIT,1701969315598,3,2.861736
ETHWUSDT,SELL,LIMIT,1701974058226,2310,2.740921
ETHWUSDT,SELL,LIMIT,1701977164537,1779,2.750121
ETHWUSDT,SELL,LIMIT,1701978228302,100,2.758879
ETHWUSDT,SELL,LIMIT,1701988488627,12,2.812176
ETHWUSDT,BUY,LIMIT,1701992829920,71,2.943762
ETHWUSDT,BUY,LIMIT,1701994525830,90,2.987333
ETHWUSDT,BUY,LIMIT,1701994528975,6,2.988815
ETHWUSDT,BUY,LIMIT,1701995145455,34,3.004756
ETHWUSDT,SELL,LIMIT,1702003313080,1587,2.839205
ETHWUSDT,SELL,LIMIT,1702010327917,183,2.830891
ETHWUSDT,SELL,LIMIT,1702010379328,102,2.823446
ETHWUSDT,SELL,LIMIT,1702013317007,113,2.828938
ETHWUSDT,SELL,LIMIT,1702021977593,253,2.853971
ETHWUSDT,SELL,LIMIT,1702022179646,130,2.853177
ETHWUSDT,SELL,LIMIT,1702022267937,500,2.849256
ETHWUSDT,SELL,LIMIT,1702022271262,891,2.844991
ETHWUSDT,SELL,LIMIT,1702029210480,56,2.823599
ETHWUSDT,SELL,LIMIT,1702029230553,64,2.814024
ETHWUSDT,SELL,LIMIT,1702029665941,78,2.803563
ETHWUSDT,SELL,LIMIT,1702029668060,45,2.796214
ETHWUSDT,SELL,LIMIT,1702029671882,294,2.792791
ETHWUSDT,SELL,LIMIT,1702030731867,31,2.790914
ETHWUSDT,BUY,LIMIT,1702035000237,416,2.932082
ETHWUSDT,BUY,LIMIT,1702039451465,20,2.941589
ETHWUSDT,SELL,LIMIT,1702040718788,12,2.834977
ETHWUSDT,SELL,LIMIT,1702040719874,2,2.832187
ETHWUSDT,SELL,LIMIT,1702044329433,77,2.814146
ETHWUSDT,BUY,LIMIT,1702052924528,51,2.955579
ETHWUSDT,SELL,LIMIT,1702055241191,14,2.855349
ETHWUSDT,SELL,LIMIT,1702083808510,162,2.894278
ETHWUSDT,SELL,LIMIT,1702083810294,38,2.892532
ETHWUSDT,SELL,LIMIT,1702084010359,774,2.872899
ETHWUSDT,SELL,LIMIT,1702084015795,47,2.869969
ETHWUSDT,SELL,LIMIT,1702084103440,164,2.852276
ETHWUSDT,SELL,LIMIT,1702084106166,193,2.849361
ETHWUSDT,SELL,LIMIT,1702084208894,1276,2.842443
ETHWUSDT,SELL,LIMIT,1702087356348,170,2.851719
ETHWUSDT,BUY,LIMIT,1702090932483,40,2.977098
ETHWUSDT,BUY,LIMIT,1702108144682,68,3.006197
ETHWUSDT,BUY,LIMIT,1702108146212,1542,3.006555
ETHWUSDT,BUY,LIMIT,1702109776976,17,3.011505
ETHWUSDT,BUY,LIMIT,1702109780750,3,3.014033
