Symbol,Side,Order Type,Time,Quantity,Price
ILVUSDT,SELL,LIMIT,1701917265455,0.6,95.01274
ILVUSDT,SELL,LIMIT,1701918515648,6.3,94.56574
ILVUSDT,SELL,LIMIT,1701918518070,0.2,94.41621
ILVUSDT,SELL,LIMIT,1701918519202,5.8,94.34911
ILVUSDT,SELL,LIMIT,1701918538494,2.3,94.12682
ILVUSDT,BUY,LIMIT,1701929803311,40.6,101.98166
ILVUSDT,BUY,LIMIT,1701930726233,40.0,102.53166
ILVUSDT,SELL,LIMIT,1701931053930,14.8,98.62607
ILVUSDT,SELL,LIMIT,1701931650972,32.4,98.35550
ILVUSDT,SELL,LIMIT,1701931715988,7.1,98.16816
ILVUSDT,SELL,LIMIT,1701933584305,12.5,98.02001
ILVUSDT,BUY,LIMIT,1701934181959,2.8,101.63720
ILVUSDT,SELL,LIMIT,1701937340424,3.1,97.59552
ILVUSDT,SELL,LIMIT,1701937351240,1.2,97.52966
ILVUSDT,SELL,LIMIT,1701937353207,1.1,97.41805
ILVUSDT,SELL,LIMIT,1701937394863,6.0,97.29773
ILVUSDT,SELL,LIMIT,1701939282025,5.0,97.13810
ILVUSDT,SELL,LIMIT,1701940563709,0.2,95.68713
ILVUSDT,SELL,LIMIT,1701940664831,0.1,95.46804
ILVUSDT,SELL,LIMIT,1701940674191,39.4,95.41727
ILVUSDT,SELL,LIMIT,1701940676072,4.9,95.34915
ILVUSDT,SELL,LIMIT,1701941069285,0.6,95.17132
ILVUSDT,SELL,LIMIT,1701941071933,22.8,95.15044
ILVUSDT,SELL,LIMIT,1701941074357,2.1,95.10360
ILVUSDT,SELL,LIMIT,1701941164247,15.2,94.90713
ILVUSDT,SELL,LIMIT,1701941169738,0.7,94.89744
ILVUSDT,SELL,LIMIT,1701941174124,0.3,94.88776
ILVUSDT,SELL,LIMIT,1701941176063,1.2,94.91392
ILVUSDT,SELL,LIMIT,1701941184379,2.0,94.79460
ILVUSDT,SELL,LIMIT,1701941186721,0.2,94.78853
ILVUSDT,SELL,LIMIT,1701941189915,9.4,94.71553
ILVUSDT,SELL,LIMIT,1701941191009,0.1,94.72179
ILVUSDT,SELL,LIMIT,1701941194450,3.2,94.60404
