Symbol,Side,Order Type,Time,Quantity,Price
ZECUSDT,SELL,LIMIT,1701068169858,50.248,28.65
ZECUSDT,SELL,LIMIT,1701069850850,3.538,28.46
ZECUSDT,SELL,LIMIT,1701070169559,1.556,28.37
ZECUSDT,SELL,LIMIT,1701070440575,0.822,28.39
ZECUSDT,SELL,LIMIT,1701077399082,2.195,28.71
ZECUSDT,SELL,LIMIT,1701093138121,4.774,28.27
ZECUSDT,SELL,LIMIT,1701095613681,6.462,28.18
ZECUSDT,SELL,LIMIT,1701095615948,0.274,28.18
ZECUSDT,SELL,LIMIT,1701097101370,4.722,28.09
ZECUSDT,SELL,LIMIT,1701107467296,7.507,28.28
ZECUSDT,SELL,LIMIT,1701111859142,2.394,28.37
ZECUSDT,SELL,LIMIT,1701114228447,34.631,28.11
ZECUSDT,SELL,LIMIT,1701114358087,0.364,28.04
ZECUSDT,SELL,LIMIT,1701114471540,2.006,28.01
ZECUSDT,SELL,LIMIT,1701114478636,1.001,27.98
ZECUSDT,SELL,LIMIT,1701114479759,583.432,27.97
ZECUSDT,SELL,LIMIT,1701114480905,648.346,27.96
ZECUSDT,SELL,LIMIT,1701146615991,48.193,28.00
ZECUSDT,SELL,LIMIT,1701147591822,3.593,27.94
ZECUSDT,SELL,LIMIT,1701147870195,0.502,27.88
ZECUSDT,SELL,LIMIT,1701147879202,1.324,27.87
ZECUSDT,SELL,LIMIT,1701148048502,3.842,27.82
ZECUSDT,SELL,LIMIT,1701148134197,5.694,27.78
ZECUSDT,SELL,LIMIT,1701149773677,34.542,27.77
ZECUSDT,BUY,LIMIT,1701152360133,3.196,28.75
ZECUSDT,BUY,LIMIT,1701155285499,9.645,28.88
ZECUSDT,BUY,LIMIT,1701163378101,8.304,28.77
ZECUSDT,BUY,LIMIT,1701164907656,17.655,28.88
ZECUSDT,SELL,LIMIT,1701185426240,0.386,28.16
ZECUSDT,SELL,LIMIT,1701185507245,13.000,28.12
ZECUSDT,BUY,LIMIT,1701186358067,17.439,29.23
ZECUSDT,BUY,LIMIT,1701188419170,0.848,29.75
ZECUSDT,BUY,LIMIT,1701200522120,34.340,29.69
ZECUSDT,SELL,LIMIT,1701211873038,3.945,28.54
ZECUSDT,SELL,LIMIT,1701211957545,28.458,28.45
ZECUSDT,BUY,LIMIT,1701239750340,0.574,29.53
ZECUSDT,BUY,LIMIT,1701240223575,21.482,29.55
ZECUSDT,BUY,LIMIT,1701243890952,1.746,29.50
ZECUSDT,SELL,LIMIT,1701245404000,0.419,28.72
ZECUSDT,BUY,LIMIT,1701247359926,1.815,29.64
ZECUSDT,SELL,LIMIT,1701252236195,16.736,28.65
ZECUSDT,SELL,LIMIT,1701253703358,68.516,28.62
