Symbol,Side,Order Type,Time,Quantity,Price
TOKENUSDT,SELL,LIMIT,1701067556480,42563,0.0257141
TOKENUSDT,SELL,LIMIT,1701067828117,8829,0.0256618
TOKENUSDT,SELL,LIMIT,1701068092816,176936,0.0255865
TOKENUSDT,SELL,LIMIT,1701068107240,13828,0.0255475
TOKENUSDT,SELL,LIMIT,1701068131007,4620,0.0254555
TOKENUSDT,SELL,LIMIT,1701068197419,11184,0.0253323
TOKENUSDT,SELL,LIMIT,1701069389651,358,0.0253661
TOKENUSDT,SELL,LIMIT,1701069805112,10600,0.0251808
TOKENUSDT,SELL,LIMIT,1701069806634,3883,0.0251790
TOKENUSDT,SELL,LIMIT,1701069812271,8824,0.0251667
TOKENUSDT,SELL,LIMIT,1701069869660,342,0.0251580
TOKENUSDT,SELL,LIMIT,1701069873095,3783,0.0251367
TOKENUSDT,SELL,LIMIT,1701069882605,4679,0.0251051
TOKENUSDT,SELL,LIMIT,1701069884311,3891,0.0250660
TOKENUSDT,SELL,LIMIT,1701069886217,20604,0.0250660
TOKENUSDT,SELL,LIMIT,1701069903078,2174,0.0250453
TOKENUSDT,SELL,LIMIT,1701069921450,1443,0.0250327
TOKENUSDT,SELL,LIMIT,1701070168184,8868,0.0249908
TOKENUSDT,SELL,LIMIT,1701070171051,532,0.0249836
TOKENUSDT,SELL,LIMIT,1701072350261,798,0.0251791
TOKENUSDT,SELL,LIMIT,1701074761234,141039,0.0253979
TOKENUSDT,SELL,LIMIT,1701075252740,15002,0.0250909
TOKENUSDT,SELL,LIMIT,1701079264219,5049,0.0250409
TOKENUSDT,SELL,LIMIT,1701079857935,16313,0.0249896
TOKENUSDT,SELL,LIMIT,1701080207054,54496,0.0249328
TOKENUSDT,SELL,LIMIT,1701080248479,8586,0.0249220
TOKENUSDT,SELL,LIMIT,1701080327412,1576,0.0248817
TOKENUSDT,SELL,LIMIT,1701080333088,14184,0.0248692
TOKENUSDT,SELL,LIMIT,1701080515359,78563,0.0248293
TOKENUSDT,SELL,LIMIT,1701080518226,4363,0.0247905
TOKENUSDT,SELL,LIMIT,1701080521626,16795,0.0247783
TOKENUSDT,SELL,LIMIT,1701080548593,130568,0.0247655
TOKENUSDT,SELL,LIMIT,1701080550348,161331,0.0247523
TOKENUSDT,SELL,LIMIT,1701080551906,30765,0.0247148
TOKENUSDT,SELL,LIMIT,1701080666296,25940,0.0246875
TOKENUSDT,SELL,LIMIT,1701080758698,31,0.0246842
TOKENUSDT,SELL,LIMIT,1701082123218,269774,0.0246677
TOKENUSDT,SELL,LIMIT,1701082685237,5983,0.0246000
TOKENUSDT,SELL,LIMIT,1701082688907,39344,0.0245852
TOKENUSDT,SELL,LIMIT,1701082690510,2000,0.0245847
TOKENUSDT,SELL,LIMIT,1701082696878,7733,0.0245666
TOKENUSDT,SELL,LIMIT,1701082698205,233120,0.0244191
TOKENUSDT,SELL,LIMIT,1701082705418,272,0.0243933
TOKENUSDT,SELL,LIMIT,1701082721018,22497,0.0243670
TOKENUSDT,SELL,LIMIT,1701082742476,6852,0.0243433
TOKENUSDT,SELL,LIMIT,1701082799081,955,0.0243092
TOKENUSDT,SELL,LIMIT,1701083331011,3206,0.0243209
TOKENUSDT,SELL,LIMIT,1701083658630,30188,0.0243430
TOKENUSDT,SELL,LIMIT,1701084923956,6084,0.0241928
TOKENUSDT,SELL,LIMIT,1701084931393,1971,0.0242026
TOKENUSDT,SELL,LIMIT,1701084974530,4055,0.0241730
TOKENUSDT,SELL,LIMIT,1701085584203,150605,0.0242936
TOKENUSDT,SELL,LIMIT,1701087992113,100765,0.0243189
TOKENUSDT,BUY,LIMIT,1701088330268,5687,0.0251226
TOKENUSDT,SELL,LIMIT,1701091161902,10338,0.0242457
TOKENUSDT,BUY,LIMIT,1701093901324,810,0.0254949
TOKENUSDT,SELL,LIMIT,1701094781890,793,0.0245699
TOKENUSDT,SELL,LIMIT,1701095531171,4727,0.0247768
TOKENUSDT,SELL,LIMIT,1701100503068,7994,0.0242245
TOKENUSDT,SELL,LIMIT,1701100510322,201690,0.0242769
TOKENUSDT,SELL,LIMIT,1701101021251,773,0.0245323
TOKENUSDT,SELL,LIMIT,1701101243538,2054,0.0245798
TOKENUSDT,SELL,LIMIT,1701102226816,40000,0.0246220
TOKENUSDT,SELL,LIMIT,1701102277413,49820,0.0245731
TOKENUSDT,SELL,LIMIT,1701105665577,29448,0.0246910
TOKENUSDT,SELL,LIMIT,1701107409068,396,0.0245857
TOKENUSDT,SELL,LIMIT,1701111138359,23329,0.0245455
TOKENUSDT,SELL,LIMIT,1701111351146,50140,0.0244373
TOKENUSDT,SELL,LIMIT,1701111580479,28006,0.0243564
TOKENUSDT,SELL,LIMIT,1701111827461,20000,0.0244123
TOKENUSDT,SELL,LIMIT,1701112085639,50443,0.0242958
TOKENUSDT,SELL,LIMIT,1701112127198,40691,0.0242318
TOKENUSDT,SELL,LIMIT,1701112133356,40403,0.0242289
TOKENUSDT,SELL,LIMIT,1701112159192,3910,0.0242114
