Symbol,Side,Order Type,Time,Quantity,Price
ALGOUSDT,SELL,LIMIT,1701067869154,850.1,0.1327
ALGOUSDT,SELL,LIMIT,1701067870706,320.9,0.1326
ALGOUSDT,SELL,LIMIT,1701069635846,18103.5,0.1315
ALGOUSDT,SELL,LIMIT,1701069723982,57.1,0.1314
ALGOUSDT,SELL,LIMIT,1701069825855,80.2,0.1312
ALGOUSDT,SELL,LIMIT,1701069853223,13429.2,0.1310
ALGOUSDT,SELL,LIMIT,1701069882590,1136.5,0.1309
ALGOUSDT,SELL,LIMIT,1701069886217,366.3,0.1309
ALGOUSDT,SELL,LIMIT,1701069901990,1424.5,0.1308
ALGOUSDT,SELL,LIMIT,1701069914367,2630.1,0.1307
ALGOUSDT,SELL,LIMIT,1701070172007,47.7,0.1306
ALGOUSDT,SELL,LIMIT,1701070173270,3659.0,0.1306
ALGOUSDT,SELL,LIMIT,1701070438279,457.1,0.1305
ALGOUSDT,SELL,LIMIT,1701070442931,4609.0,0.1305
ALGOUSDT,BUY,LIMIT,1701073602347,659.6,0.1361
ALGOUSDT,SELL,LIMIT,1701077399082,2360.1,0.1317
ALGOUSDT,SELL,LIMIT,1701080707374,11992.1,0.1307
ALGOUSDT,SELL,LIMIT,1701080759074,546.2,0.1307
ALGOUSDT,SELL,LIMIT,1701080784505,876.5,0.1305
ALGOUSDT,SELL,LIMIT,1701081195329,9736.9,0.1303
ALGOUSDT,SELL,LIMIT,1701081330002,13657.0,0.1301
ALGOUSDT,SELL,LIMIT,1701081430294,8337.2,0.1297
ALGOUSDT,SELL,LIMIT,1701081488037,7199.4,0.1294
ALGOUSDT,SELL,LIMIT,1701081578963,3554.6,0.1296
ALGOUSDT,SELL,LIMIT,1701082126032,1316.4,0.1293
ALGOUSDT,SELL,LIMIT,1701082127891,8765.5,0.1293
ALGOUSDT,SELL,LIMIT,1701082687202,2172.1,0.1292
ALGOUSDT,SELL,LIMIT,1701082696926,356.3,0.1292
ALGOUSDT,BUY,LIMIT,1701090916681,382.1,0.1344
ALGOUSDT,BUY,LIMIT,1701091307086,3275.2,0.1347
ALGOUSDT,BUY,LIMIT,1701091361949,268.3,0.1349
ALGOUSDT,SELL,LIMIT,1701094852460,11086.4,0.1297
