Symbol,Side,Order Type,Time,Quantity,Price
NMRUSDT,SELL,LIMIT,1701068147417,26.4,15.112518
NMRUSDT,SELL,LIMIT,1701069829863,8.7,14.944212
NMRUSDT,SELL,LIMIT,1701069895354,5.6,14.896497
NMRUSDT,SELL,LIMIT,1701082650803,121.1,14.826270
NMRUSDT,SELL,LIMIT,1701082669371,10.4,14.793963
NMRUSDT,SELL,LIMIT,1701082678085,111.8,14.728894
NMRUSDT,SELL,LIMIT,1701082706558,152.1,14.703406
NMRUSDT,SELL,LIMIT,1701101007837,1.1,14.843589
NMRUSDT,SELL,LIMIT,1701114352849,0.8,14.871063
NMRUSDT,SELL,LIMIT,1701114356370,1.8,14.878566
NMRUSDT,SELL,LIMIT,1701114474993,1.2,14.831214
NMRUSDT,SELL,LIMIT,1701114497726,6.1,14.793407
NMRUSDT,SELL,LIMIT,1701132262803,1.2,15.212896
NMRUSDT,SELL,LIMIT,1701148145464,315.6,14.714767
NMRUSDT,SELL,LIMIT,1701149130244,0.8,14.646537
NMRUSDT,SELL,LIMIT,1701149822831,5.1,14.634822
NMRUSDT,SELL,LIMIT,1701149841148,3.3,14.609298
NMRUSDT,SELL,LIMIT,1701149847165,21.2,14.599951
NMRUSDT,SELL,LIMIT,1701149848441,20.4,14.596081
NMRUSDT,BUY,LIMIT,1701164387786,66.9,15.540653
NMRUSDT,BUY,LIMIT,1701197853681,12.8,15.927373
NMRUSDT,SELL,LIMIT,1701259468501,18.9,15.481826
NMRUSDT,SELL,LIMIT,1701268452426,9.0,15.362527
NMRUSDT,SELL,LIMIT,1701269393304,0.7,16.190103
NMRUSDT,SELL,LIMIT,1701275792622,85.0,15.156866
NMRUSDT,SELL,LIMIT,1701306428991,4.9,15.109425
NMRUSDT,SELL,LIMIT,1701306682936,4.5,15.064085
NMRUSDT,SELL,LIMIT,1701331766890,5.0,15.052478
NMRUSDT,SELL,LIMIT,1701332349130,247.5,15.021321
NMRUSDT,SELL,LIMIT,1701333675747,12.8,14.969003
