Symbol,Side,Order Type,Time,Quantity,Price
GMXUSDT,SELL,LIMIT,1701940563567,28.70,48.863815
GMXUSDT,SELL,LIMIT,1701940569540,96.69,48.787374
GMXUSDT,SELL,LIMIT,1701941161367,30.00,48.655936
GMXUSDT,SELL,LIMIT,1701941243565,1.78,48.470934
GMXUSDT,BUY,LIMIT,1701953976591,0.01,51.663000
GMXUSDT,BUY,LIMIT,1701962508544,1.26,52.317080
GMXUSDT,SELL,LIMIT,1701971365219,1.06,51.660363
GMXUSDT,BUY,LIMIT,1701993959533,30.53,54.682200
GMXUSDT,BUY,LIMIT,1702004102342,0.84,55.046508
GMXUSDT,BUY,LIMIT,1702004154390,0.19,55.161022
GMXUSDT,SELL,LIMIT,1702007096293,0.07,53.147515
GMXUSDT,BUY,LIMIT,1702007120269,0.86,55.314600
GMXUSDT,BUY,LIMIT,1702007154540,0.53,55.337452
GMXUSDT,BUY,LIMIT,1702007257304,9.74,55.418780
GMXUSDT,BUY,LIMIT,1702008918986,75.64,55.523649
GMXUSDT,BUY,LIMIT,1702016152674,1.38,55.569376
GMXUSDT,SELL,LIMIT,1702022849058,0.52,52.363644
GMXUSDT,SELL,LIMIT,1702029548959,2.93,52.107744
GMXUSDT,SELL,LIMIT,1702042240033,1.90,51.959601
GMXUSDT,SELL,LIMIT,1702043837014,3.69,51.892361
GMXUSDT,SELL,LIMIT,1702043858507,112.82,51.813643
GMXUSDT,SELL,LIMIT,1702044410498,5.96,51.774326
GMXUSDT,BUY,LIMIT,1702052007185,0.10,54.121200
GMXUSDT,BUY,LIMIT,1702064060253,0.34,54.467694
GMXUSDT,SELL,LIMIT,1702065363246,1.55,52.454973
GMXUSDT,BUY,LIMIT,1702070928523,1.97,55.461027
GMXUSDT,BUY,LIMIT,1702071011957,2.62,55.532347
GMXUSDT,BUY,LIMIT,1702080687268,2.98,55.345581
GMXUSDT,BUY,LIMIT,1702105573488,0.57,56.603803
GMXUSDT,BUY,LIMIT,1702105613947,0.55,56.680207
GMXUSDT,BUY,LIMIT,1702105851005,0.25,56.862132
GMXUSDT,BUY,LIMIT,1702109209082,0.80,57.341062
GMXUSDT,BUY,LIMIT,1702109244833,2.67,57.334200
GMXUSDT,BUY,LIMIT,1702109514107,0.93,57.262800
GMXUSDT,BUY,LIMIT,1702109634797,1.15,57.197867
GMXUSDT,SELL,LIMIT,1702110970061,0.10,54.135201
GMXUSDT,BUY,LIMIT,1702110979082,0.39,56.242800
GMXUSDT,SELL,LIMIT,1702111027794,4.22,53.856261
GMXUSDT,BUY,LIMIT,1702111031400,0.06,56.018400
GMXUSDT,SELL,LIMIT,1702111035522,9.14,53.687935
GMXUSDT,SELL,LIMIT,1702111037878,0.67,54.512840
GMXUSDT,SELL,LIMIT,1702111045446,5.82,53.662533
GMXUSDT,SELL,LIMIT,1702111373547,74.58,53.292722
GMXUSDT,SELL,LIMIT,1702111385537,0.65,54.252169
GMXUSDT,SELL,LIMIT,1702111387090,71.55,53.116181
GMXUSDT,SELL,LIMIT,1702132996865,129.50,52.736101
GMXUSDT,SELL,LIMIT,1702133000400,40.00,52.744814
GMXUSDT,SELL,LIMIT,1702133002508,0.09,52.738344
GMXUSDT,SELL,LIMIT,1702133005589,4.47,52.618209
GMXUSDT,SELL,LIMIT,1702133008677,3.65,52.542145
GMXUSDT,SELL,LIMIT,1702133015066,2.69,52.792656
GMXUSDT,SELL,LIMIT,1702133401592,2.09,52.520227
GMXUSDT,SELL,LIMIT,1702141704253,1.43,52.432494
GMXUSDT,SELL,LIMIT,1702141848128,77.19,52.311808
GMXUSDT,SELL,LIMIT,1702141852160,4.44,52.240552
GMXUSDT,SELL,LIMIT,1702164747361,0.90,52.332001
GMXUSDT,SELL,LIMIT,1702164752474,39.99,52.253601
GMXUSDT,SELL,LIMIT,1702164799676,75.07,52.178293
GMXUSDT,SELL,LIMIT,1702164800907,5.96,52.144913
GMXUSDT,SELL,LIMIT,1702164805368,36.59,51.979201
GMXUSDT,SELL,LIMIT,1702164810258,0.16,51.959601
