Symbol,Side,Order Type,Time,Quantity,Price
DUSKUSDT,SELL,LIMIT,1701940555348,25084,0.16457
DUSKUSDT,SELL,LIMIT,1701940569447,342,0.16409
DUSKUSDT,SELL,LIMIT,1701941148794,132,0.16334
DUSKUSDT,SELL,LIMIT,1701941188347,281,0.16258
DUSKUSDT,SELL,LIMIT,1701941189792,1134,0.16287
DUSKUSDT,SELL,LIMIT,1701941192937,117,0.16234
DUSKUSDT,SELL,LIMIT,1701941245195,9705,0.16206
DUSKUSDT,BUY,LIMIT,1701961350442,1159,0.17703
DUSKUSDT,BUY,LIMIT,1701961408648,125,0.17746
DUSKUSDT,BUY,LIMIT,1701961699215,2086,0.17921
DUSKUSDT,BUY,LIMIT,1701965907516,248,0.18140
DUSKUSDT,BUY,LIMIT,1701966741157,308,0.18192
DUSKUSDT,SELL,LIMIT,1701976483476,2153,0.16947
DUSKUSDT,SELL,LIMIT,1701977091156,2434,0.16896
DUSKUSDT,SELL,LIMIT,1701977219595,483,0.16869
DUSKUSDT,SELL,LIMIT,1701977299334,2849,0.16853
DUSKUSDT,BUY,LIMIT,1702007011002,365,0.18071
DUSKUSDT,BUY,LIMIT,1702007154541,161,0.18082
DUSKUSDT,BUY,LIMIT,1702033368251,1962,0.17937
DUSKUSDT,BUY,LIMIT,1702047077494,3049,0.17823
DUSKUSDT,BUY,LIMIT,1702051568472,41,0.17908
DUSKUSDT,BUY,LIMIT,1702053445380,388,0.18023
DUSKUSDT,SELL,LIMIT,1702056556657,14694,0.17128
DUSKUSDT,BUY,LIMIT,1702075661381,321,0.18174
DUSKUSDT,BUY,LIMIT,1702078548839,4108,0.18212
DUSKUSDT,BUY,LIMIT,1702082331269,187,0.18334
DUSKUSDT,BUY,LIMIT,1702082957417,2263,0.18359
DUSKUSDT,BUY,LIMIT,1702084026438,94,0.18155
DUSKUSDT,BUY,LIMIT,1702099075118,1025,0.18362
DUSKUSDT,BUY,LIMIT,1702100842353,31,0.18434
DUSKUSDT,BUY,LIMIT,1702107991122,122,0.18627
DUSKUSDT,BUY,LIMIT,1702108079258,1192,0.18670
DUSKUSDT,BUY,LIMIT,1702109776976,284,0.18627
DUSKUSDT,BUY,LIMIT,1702109923055,64,0.18694
DUSKUSDT,BUY,LIMIT,1702110068345,184,0.18777
DUSKUSDT,BUY,LIMIT,1702110118435,721,0.18788
DUSKUSDT,BUY,LIMIT,1702110326953,366,0.18758
DUSKUSDT,SELL,LIMIT,1702110445542,61,0.17971
DUSKUSDT,SELL,LIMIT,1702111031400,48,0.17552
DUSKUSDT,SELL,LIMIT,1702111038681,130,0.17513
DUSKUSDT,SELL,LIMIT,1702111041488,145,0.17507
DUSKUSDT,SELL,LIMIT,1702111044493,954,0.17514
DUSKUSDT,SELL,LIMIT,1702111047307,3194,0.17465
DUSKUSDT,SELL,LIMIT,1702111387570,272,0.17368
DUSKUSDT,SELL,LIMIT,1702132826811,5814,0.17427
